cytokine,cell
CSF2,CL_0000499
IL4,CL_0000893
IL6,CL_0000129
CXCL10,CL_0000235
CCL5,CL_0000084
IL10,CL_0000890
TGFB,CL_0000127
CXCL8,CL_0000097
IL18,CL_0000576
IFNG,CL_0000097
CSF2,CL_0000583
IL10,CL_0000763
IFNG,CL_0000917
EPO,CL_0000765
IL6,CL_0000091
IL22,CL_0001042
IL1,CL_0000066
IL12,CL_0000145
CXCL12,CL_0000233
TGFB1,CL_0000062
TNF,CL_0000125
IL12,CL_0000236
TNF,CL_0002629
IL12B,CL_0000235
TGFB,CL_0000738
CCL2,CL_0000084
TGFB,CL_0000499
CCL2,CL_0000066
FGF2,CL_0000097
FGF2,CL_0000138
TGFB1,CL_0000134
IL6,CL_0000023
CSF2,CL_0000097
IL21,CL_0000236
CXCL8,CL_0000499
CCL2,CL_0000775
TGFB1,CL_0000542
IL33,CL_0000546
CCL2,CL_0000540
IL17,CL_0000542
IL2,CL_0000057
TGFB,CL_0000623
TGFB,CL_0000650
IL1B,CL_0000233
HGF,CL_0000057
TGFA,CL_0000182
IFNG,CL_0000794
CCL2,CL_0000650
IL4,CL_0000898
TGFB,CL_0000023
CX3CL1,CL_0000540
CSF2,CL_0000312
IL33,CL_0000066
IL5,CL_0000546
IL22,CL_0000084
IFNG,CL_0000912
IL6,CL_0002092
TGFB1,CL_0000792
IL10,CL_0000581
TNF,CL_0000214
CXCL8,CL_0000233
IL6,CL_0000771
IL6,CL_0000581
IL13,CL_0000767
IL2,CL_0000738
CSF3,CL_0000540
IL13,CL_0000235
IFNG,CL_0000771
TGFB,CL_0000771
CSF1,CL_0000499
IFNA,CL_0000542
CXCL12,CL_0002619
TGFB1,CL_0000499
CCL11,CL_0000057
CXCL8,CL_0000082
CSF2,CL_0000738
IL1B,CL_0000581
FGF2,CL_0002139
CSF2,CL_0000034
IL10,CL_0000623
CSF1,CL_0000057
IL7,CL_0000817
IL1B,CL_0000583
IL6,CL_0000187
IL4,CL_0000545
IFNG,CL_0000583
IL16,CL_0000084
IL4,CL_0000912
IL13,CL_0000546
IL21,CL_0000625
FGF2,CL_0000125
CCL2,CL_0000062
TNF,CL_0000499
CXCL12,CL_0000062
CSF2,CL_0000236
IL6,CL_0000584
CD40LG,CL_0000576
CSF1,CL_0000084
TGFB1,CL_0000623
IL18,CL_0000775
IFNG,CL_0000909
EPO,CL_0000232
IFNA,CL_0000057
IL1B,CL_0000312
IL1,CL_0002629
IL10,CL_0000097
CCL20,CL_0000899
SPP1,CL_0000057
IFNG,CL_0000115
CXCL8,CL_0000182
IL10,CL_0000902
IL35,CL_0000792
IL22,CL_0000624
TGFB,CL_0000625
IL22,CL_0000899
CD40LG,CL_0000542
IL6,CL_0000650
CXCL8,CL_0000583
IL6,CL_0000092
CSF2,CL_0000092
IL1B,CL_0000542
IL6,CL_0000763
TGFB1,CL_0000624
IL2,CL_0000911
CXCL10,CL_0000576
CD40LG,CL_0000738
IL27,CL_0000235
IL5,CL_0000542
IL10,CL_0000899
IL21,CL_0000623
CD40LG,CL_0000057
IL17A,CL_0000236
IL7,CL_0000312
IL21,CL_0002038
TNF,CL_0000584
IL1,CL_0000540
IL6,CL_0000871
TGFB,CL_0000187
TNF,CL_0000763
CXCL10,CL_0000066
IFN1,CL_0000451
EPO,CL_0002092
CCL2,CL_0000129
CSF2,CL_0000624
IFNA2,CL_0000738
IL18,CL_0000738
CXCL12,CL_0000057
IL4,CL_0000814
TGFB,CL_0000902
TGFB,CL_0000653
IFNA,CL_0000775
CSF2,CL_0000066
IL6,CL_0000893
IL17,CL_0000738
CCL3,CL_0000235
SPP1,CL_0000192
IL1,CL_0000499
IL10,CL_0000784
TGFB1,CL_0000127
CXCL8,CL_0000236
CXCL8,CL_0002619
TNF,CL_0000187
TGFA,CL_0000066
TNFSF11,CL_0000062
IFNG,CL_0000793
IFNG,CL_0000899
CCL22,CL_0000235
IL1B,CL_0000091
IL31,CL_0000084
TGFB,CL_0000545
IL1A,CL_0000066
IL23,CL_0000235
IL10,CL_0000782
IL15,CL_0000576
CCL2,CL_0000092
CCL3,CL_0000084
IL17A,CL_0000738
TGFB,CL_0000129
IFNG,CL_0000920
IFNB1,CL_0000738
CCL2,CL_0000182
TGFB1,CL_0000501
IFNG,CL_0000094
IL6,CL_0000546
IL18,CL_0000451
IL1,CL_0000092
CCL2,CL_0000653
IFN1,CL_0000236
TNF,CL_0000890
IL17,CL_0000911
LTA,CL_0000236
IL15,CL_0002563
CCL2,CL_0000082
IL4,CL_0000813
CSF3,CL_0000236
TNF,CL_0000863
CCL21,CL_0000540
FGF1,CL_0000540
IL13,CL_0000097
IL6,CL_0000653
CXCL8,CL_0000134
IL1,CL_0000771
CXCL10,CL_0000182
CSF3,CL_0000235
IL13,CL_0000625
CSF1,CL_0000094
IFN1,CL_0000738
CSF2,CL_0000623
IL5,CL_0000625
TNF,CL_0000113
IL1B,CL_0000763
IL17,CL_0000798
TNF,CL_0000784
CXCL10,CL_0002368
IL33,CL_0000235
IL10,CL_0000911
CSF1,CL_0000062
TGFB,CL_0000622
CCL6,CL_0000082
IL6,CL_0000192
CXCL8,CL_0000094
IL12,CL_0000129
IFNG,CL_0000893
CCL27,CL_0000312
IL1RN,CL_0000775
CCL2,CL_0000581
IL11,CL_0000499
IL11,CL_0000057
IL35,CL_0000815
IL23,CL_0000576
IL1,CL_0000127
IL11,CL_0000062
IL6,CL_0000145
CCL6,CL_0000084
EPO,CL_0000235
TGFB,CL_0000097
TNF,CL_0000128
TNF,CL_0000062
IL15,CL_0000312
TNF,CL_0000860
IL6,CL_0000890
IL15,CL_0000235
CSF2,CL_0000062
TGFB1,CL_0000135
IL1B,CL_0000863
IFNG,CL_0000898
IL6,CL_0000545
CXCL13,CL_0000576
CCL11,CL_0000097
TGFB,CL_0000815
IL17F,CL_0000899
IL1RN,CL_0000312
CCL26,CL_0000540
IL17,CL_0000127
IL12,CL_0000096
IL1,CL_0000214
IL5,CL_0002092
IL2,CL_0000232
IL3,CL_0000312
IL1B,CL_0000792
IL1,CL_0000113
CXCL2,CL_0000583
CSF1,CL_0000034
IL12,CL_0000581
TGFB,CL_0000893
IL12,CL_0000784
CSF3,CL_0000134
IL6,CL_0000623
IL16,CL_0000624
IL1A,CL_0000216
CCL6,CL_0000542
TGFB,CL_0002097
IL1RN,CL_0000096
IL6,CL_0002334
IL10,CL_0000091
IL10,CL_0000819
CXCL8,CL_0000584
FGF2,CL_0000586
LECT2,CL_0000182
CXCL8,CL_0000501
IL10,CL_0000820
CXCL10,CL_0000540
IL15,CL_0000066
GDF15,CL_0000057
CCL2,CL_0000771
FGF2,CL_0000182
TGFB1,CL_0000669
IL17A,CL_0000625
IL12B,CL_0000451
PF4,CL_0000235
TNF,CL_0000218
IL2,CL_0000097
CXCL12,CL_0000127
IL17,CL_0000815
IL6,CL_0000216
RETN,CL_0000235
CSF3,CL_0000786
IL17F,CL_0000084
IL6,CL_0000625
HGF,CL_0000499
FGF2,CL_0000023
TNF,CL_0000650
TGFA,CL_0000127
CSF2,CL_0002328
CSF1,CL_0000127
CSF3,CL_0000057
IL10,CL_0000362
TNF,CL_0000990
IL1RN,CL_0000182
IFNG,CL_0000492
CSF2,CL_0000836
TGFB1,CL_0000583
IL12,CL_0000782
CXCL8,CL_0000138
IL22,CL_0000545
PPBP,CL_0000235
CCL20,CL_0000584
IL33,CL_0000127
CCL4,CL_0000623
IL1B,CL_0002368
TGFB1,CL_0000540
CCL4L2,CL_0000784
CXCL1,CL_0000235
IL4,CL_0000910
IL22,CL_0000623
IL4,CL_0000738
CX3CL1,CL_0000127
IFNG,CL_0000351
IL1B,CL_0000125
CSF2,CL_0000115
IFN1,CL_0000576
IL17A,CL_0000235
TNF,CL_0000362
TNF,CL_0002063
TNF,CL_0000871
TGFB,CL_1000742
CXCL8,CL_0000127
IL1B,CL_0000650
HGF,CL_0000540
KITLG,CL_0000216
CSF1,CL_0000312
IL1,CL_0002293
CCL2,CL_0000137
TNF,CL_0000586
IL10,CL_0000990
IL9,CL_0000899
IL7,CL_0002563
TNFSF11,CL_0000137
PDGFA,CL_0000057
IL1A,CL_0000138
CCL1,CL_0000624
CCL5,CL_0000182
IL2,CL_0000794
CXCL8,CL_0000624
TGFB2,CL_0000125
CXCL9,CL_0002368
HGF,CL_0000235
IL23,CL_0000129
HGF,CL_0000775
CXCL16,CL_0000499
CCL2,CL_0002627
IL4,CL_0000127
IL22,CL_0000738
IL6,CL_0000163
FGF1,CL_0000065
CXCL13,CL_0000235
IFNG,CL_0000696
CXCL8,CL_0000362
CSF2,CL_0000038
IL3,CL_0000540
IL18,CL_0000182
PDGF,CL_0000115
THPO,CL_0000134
TGFB,CL_0000969
CCL20,CL_0000312
IL10,CL_0000795
CCL2,CL_0000499
FGF1,CL_0000235
IFNG,CL_0000916
CSF1,CL_0000138
OSM,CL_0000235
IL33,CL_0000057
IFNG,CL_0000650
CCL2,CL_0000125
CSF2,CL_0000322
IFNG,CL_0000113
TNF,CL_0000782
IL6,CL_0000669
IL7,CL_0002293
IL1B,CL_0000113
KITLG,CL_0000034
TNFSF13B,CL_0000775
IL6,CL_0000501
CSF1,CL_0000056
IL2,CL_0000540
IL6,CL_0000642
IFNA,CL_0002092
LIF,CL_0000092
CSF2,CL_0000134
CSF2,CL_0000113
IL10,CL_0002328
IFNG,CL_0002496
TNF,CL_0002397
IL6,CL_0002139
IL1,CL_0000216
IL17A,CL_0000792
IL25,CL_0000057
CXCL8,CL_0000322
IL6,CL_0000782
IL12B,CL_0000236
IL3,CL_0000624
IL10,CL_0000787
CCL2,CL_0000583
IL1RN,CL_0000540
IL33,CL_0000542
IL1B,CL_0000786
IL16,CL_0000771
IL6,CL_0000442
IL25,CL_0000235
IL2,CL_0000023
CSF2,CL_1001319
CCL6,CL_0000129
IL10,CL_0000453
IL1,CL_0000182
IL10,CL_0000798
CXCL8,CL_0000077
IL16,CL_0002328
IL1,CL_0000178
CCL11,CL_0000066
CSF1,CL_0000540
IL3,CL_0000625
OSM,CL_0000738
EPO,CL_0000127
EPO,CL_0000057
CCL26,CL_0000066
MIF,CL_0000542
TGFB,CL_0000047
IL1RN,CL_0000113
IL12,CL_0002476
IL1,CL_0000019
CCL24,CL_0000771
IL12,CL_0000583
CSF2,CL_0000214
CCL3,CL_0000767
IL22,CL_0000912
TGFB1,CL_1000488
CXCL13,CL_0000624
IL10,CL_0000871
