,m-auc,precision,recall,F1-score
cell-cytokine+,0.8246428768402636,0.6239316239316239,0.09323116219667944,0.1622222222222222
cytokine-cell+,0.8595770697251152,0.6359060402684564,0.2013815090329437,0.3058918482647296
cytokine-cell-,0.832622933950944,0.6047297297297297,0.18026183282980865,0.27773467804499613
cytokine-cell,0.8498264334825074,0.5943708609271523,0.24827109266943292,0.35024390243902437
