,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270
fre,1.0,2.0,3.0,1.0,6.0,26.0,22.0,7.0,1.0,7.0,2.0,2.0,2.0,1.0,15.0,33.0,3.0,3.0,18.0,1.0,26.0,4.0,4.0,5.0,59.0,5.0,28.0,8.0,8.0,22.0,1.0,5.0,4.0,5.0,43.0,3.0,1.0,5.0,11.0,17.0,11.0,27.0,1.0,19.0,7.0,12.0,3.0,16.0,6.0,12.0,2.0,9.0,1.0,10.0,3.0,26.0,1.0,9.0,2.0,7.0,1.0,1.0,11.0,5.0,5.0,1.0,1.0,5.0,26.0,49.0,40.0,1.0,27.0,6.0,3.0,7.0,1.0,12.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,22.0,7.0,3.0,20.0,5.0,1.0,1.0,3.0,1.0,27.0,2.0,38.0,25.0,20.0,2.0,12.0,11.0,3.0,1.0,2.0,40.0,13.0,7.0,7.0,4.0,1.0,1.0,1.0,4.0,36.0,41.0,34.0,8.0,1.0,2.0,5.0,10.0,4.0,2.0,1.0,1.0,6.0,1.0,1.0,46.0,2.0,22.0,16.0,1.0,10.0,32.0,48.0,1.0,2.0,2.0,8.0,1.0,4.0,3.0,2.0,23.0,1.0,5.0,2.0,5.0,1.0,1.0,5.0,6.0,12.0,2.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,7.0,10.0,1.0,3.0,8.0,13.0,2.0,2.0,1.0,2.0,11.0,9.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,13.0,2.0,1.0,10.0,11.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,13.0,3.0,8.0,5.0,1.0,5.0,1.0,1.0,7.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,6.0,5.0,11.0,1.0,7.0,4.0,11.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,1.0,5.0,1.0,6.0,1.0,1.0
roc_auc,0.9203539823008849,0.9732142857142857,0.957957957957958,0.24778761061946908,0.675925925925926,0.8343531468531469,0.7648221343873518,0.807743658210948,0.663716814159292,0.6088117489986649,0.53125,0.6160714285714286,0.4017857142857143,0.8938053097345133,0.8181818181818181,0.7949869060980173,0.7147147147147148,0.891891891891892,0.6938657407407408,0.8141592920353982,0.8046328671328671,0.8818181818181818,0.7409090909090909,0.9100917431192661,0.7405238828967643,0.8275229357798164,0.7259136212624584,0.8254716981132075,0.6839622641509434,0.8033596837944664,0.1327433628318584,0.6440366972477064,0.8022727272727272,0.8642201834862386,0.7052079921388799,0.6516516516516516,0.9646017699115044,0.6293577981651376,0.6248896734333628,0.8229229836264402,0.8799646954986761,0.7283950617283951,0.6902654867256637,0.8686980609418282,0.7636849132176236,0.7606209150326797,0.7327327327327328,0.8443877551020408,0.7283950617283952,0.8823529411764706,0.90625,0.892063492063492,0.8407079646017699,0.8288461538461538,0.48348348348348347,0.7076048951048951,0.8761061946902655,0.7576719576719576,0.7276785714285714,0.8598130841121496,0.7256637168141593,0.6991150442477876,0.7184466019417476,0.7908256880733945,0.8091743119266055,0.911504424778761,0.7876106194690266,0.7853211009174312,0.8212412587412588,0.7284144427001569,0.8290540540540541,0.9026548672566371,0.7811834823329077,0.8719135802469136,0.8498498498498499,0.5540720961281709,0.8584070796460177,0.7026143790849673,0.8169642857142858,0.8108108108108109,0.8053097345132744,0.40625,0.8584070796460177,0.752212389380531,0.9380530973451328,0.7934782608695652,0.9919893190921228,0.7897897897897899,0.7835106382978723,0.8678899082568807,0.008849557522123908,0.584070796460177,0.5765765765765765,0.8053097345132744,0.6704980842911876,0.8794642857142857,0.8691135734072022,0.7739325842696629,0.876595744680851,0.8482142857142857,0.5686274509803921,0.8526037069726391,0.6876876876876877,0.8938053097345133,0.9821428571428571,0.7402027027027027,0.8811881188118812,0.7690253671562083,0.7716955941255006,0.6636363636363636,0.5132743362831859,0.6371681415929203,0.053097345132743334,0.7,0.670940170940171,0.8115603073838958,0.7683823529411765,0.7700471698113207,0.9646017699115044,0.8035714285714285,0.8110091743119267,0.8586538461538462,0.7863636363636363,0.65625,0.017699115044247815,0.8495575221238938,0.8765432098765432,0.9380530973451328,0.2920353982300885,0.782928388746803,0.5267857142857143,0.7267786561264822,0.7825255102040817,0.6017699115044248,0.7721153846153846,0.7801067073170731,0.8169191919191919,0.3008849557522124,0.3080357142857143,0.7723214285714285,0.6827830188679245,0.03539823008849563,0.4454545454545455,0.35135135135135137,0.8258928571428571,0.7333970377448638,0.16814159292035402,0.7431192660550459,0.6160714285714286,0.8458715596330275,0.8938053097345133,0.36283185840707965,0.6495412844036696,0.691358024691358,0.8202614379084967,0.3973214285714286,0.4363636363636364,0.7567567567567568,0.48214285714285715,0.8431818181818181,0.6460176991150443,0.9911504424778761,0.06194690265486724,0.0892857142857143,0.9203539823008849,0.2612612612612612,0.10619469026548678,0.4568181818181818,0.6294642857142857,0.6697530864197531,0.8672566371681416,0.33628318584070793,0.9646017699115044,0.6515353805073432,0.8076923076923077,0.5398230088495575,0.18018018018018017,0.839622641509434,0.5902513328255903,0.6651785714285714,0.2098214285714286,0.4424778761061947,0.8214285714285714,0.8932038834951457,0.6529100529100529,0.9212283044058744,0.7168141592920354,0.11504424778761058,0.8761061946902655,0.6844036697247707,0.4513274336283186,0.6194690265486726,0.5178571428571428,0.5929203539823009,0.8048048048048049,0.2566371681415929,0.2743362831858407,0.17699115044247793,0.525,0.40454545454545454,0.911504424778761,0.9469026548672567,0.8407079646017699,0.7776085300837776,0.7946428571428571,0.9469026548672567,0.8538461538461539,0.6646072374227713,0.8230088495575221,0.8660714285714286,0.8928571428571429,0.6371681415929203,0.8022727272727272,0.9429429429429429,0.5486725663716814,0.6741071428571428,0.3893805309734514,0.663716814159292,0.6295454545454545,0.22123893805309736,0.6382330540746382,0.6306306306306306,0.8879716981132076,0.7963302752293578,0.7168141592920354,0.6642201834862386,0.4424778761061947,0.7345132743362832,0.7222963951935915,0.9659090909090909,0.7079646017699115,0.7366071428571429,0.17699115044247793,0.8928571428571429,0.7610619469026548,0.4424778761061947,0.03539823008849563,0.6785714285714285,0.6875,0.28125,0.24107142857142855,0.15929203539823011,0.9292035398230089,0.9026548672566371,0.9363636363636364,0.7191358024691357,0.7706422018348624,0.6398940864960282,0.752212389380531,0.8544726301735647,0.8590909090909092,0.7193292144748455,0.8705357142857143,0.90625,0.8761061946902655,0.8705357142857143,0.6642201834862385,0.663716814159292,0.8761061946902655,0.6741071428571428,0.8584070796460177,0.6294642857142858,0.7589285714285714,0.59375,0.9089506172839507,0.6106194690265487,0.855045871559633,0.9823008849557522,0.7145061728395062,0.6991150442477876,0.7876106194690266
roc_thr,0.08325684070587158,0.08940976858139038,0.1119307279586792,0.05352097749710083,0.09091514348983765,0.3242361843585968,0.23475483059883118,0.12101462483406067,0.07450094819068909,0.0997222363948822,0.054737359285354614,0.07104533910751343,0.1013893187046051,0.06578966975212097,0.13608160614967346,0.22814658284187317,0.09118762612342834,0.08008301258087158,0.18084096908569336,0.06121507287025452,0.1900792419910431,0.08399087190628052,0.1444886326789856,0.07289406657218933,0.5925230979919434,0.10841962695121765,0.29355788230895996,0.1004469096660614,0.11225160956382751,0.2657908499240875,0.038048237562179565,0.06689819693565369,0.09248802065849304,0.0864519476890564,0.32472294569015503,0.08499515056610107,0.09166529774665833,0.08369934558868408,0.11777624487876892,0.1834462285041809,0.1262761354446411,0.29493919014930725,0.07098513841629028,0.1653534173965454,0.1368636190891266,0.1253521740436554,0.06188392639160156,0.11857002973556519,0.08966931700706482,0.0947297215461731,0.07232418656349182,0.13789570331573486,0.06793776154518127,0.12562063336372375,0.058442920446395874,0.27792078256607056,0.07151970267295837,0.07591831684112549,0.05326637625694275,0.10065910220146179,0.06467568874359131,0.06450891494750977,0.12344777584075928,0.0746423602104187,0.07138311862945557,0.08278053998947144,0.05402025580406189,0.06422010064125061,0.3188987672328949,0.48029279708862305,0.3791113793849945,0.08109715580940247,0.25782251358032227,0.09680637717247009,0.09099116921424866,0.14990025758743286,0.0742272436618805,0.11391213536262512,0.06736928224563599,0.0761767029762268,0.06949722766876221,0.06986740231513977,0.07482299208641052,0.06611090898513794,0.08614972233772278,0.22471269965171814,0.12103733420372009,0.09105867147445679,0.17880651354789734,0.07541966438293457,0.03347000479698181,0.06101551651954651,0.07073238492012024,0.06477347016334534,0.27002012729644775,0.09216049313545227,0.4708729088306427,0.24999016523361206,0.27967262268066406,0.08395561575889587,0.11753356456756592,0.15109121799468994,0.06737235188484192,0.07858219742774963,0.10622763633728027,0.49254265427589417,0.1444706916809082,0.16880840063095093,0.07991918921470642,0.06883886456489563,0.054485052824020386,0.06454792618751526,0.03458869457244873,0.07096254825592041,0.3234859108924866,0.5189052224159241,0.356198787689209,0.12784749269485474,0.09359106421470642,0.08779600262641907,0.13229504227638245,0.12143522500991821,0.05351826548576355,0.05090749263763428,0.0339336097240448,0.07179424166679382,0.08763402700424194,0.0870903730392456,0.04680269956588745,0.49322953820228577,0.04153943061828613,0.3158688247203827,0.18058913946151733,0.055505454540252686,0.2554352879524231,0.5423642992973328,0.5617637634277344,0.04751849174499512,0.0689837634563446,0.06675875186920166,0.13759711384773254,0.04362863302230835,0.11988267302513123,0.0829571783542633,0.09148722887039185,0.2830565571784973,0.0413203239440918,0.12807133793830872,0.0507645308971405,0.09994152188301086,0.07317456603050232,0.054564833641052246,0.09324941039085388,0.1334444284439087,0.13335302472114563,0.06393542885780334,0.07520204782485962,0.09485933184623718,0.08387109637260437,0.09634128212928772,0.060712069272994995,0.1035768985748291,0.03420397639274597,0.04419627785682678,0.07181417942047119,0.06293642520904541,0.037127137184143066,0.071584552526474,0.07141771912574768,0.0793854296207428,0.06418201327323914,0.043737590312957764,0.08988991379737854,0.17236807942390442,0.1548927128314972,0.05545163154602051,0.07088172435760498,0.14474454522132874,0.18923410773277283,0.06575864553451538,0.047438085079193115,0.06270208954811096,0.09868034720420837,0.14460238814353943,0.09920331835746765,0.12505897879600525,0.07371562719345093,0.04143965244293213,0.075132817029953,0.1096964180469513,0.06067502498626709,0.056371718645095825,0.06881874799728394,0.05366271734237671,0.055713802576065063,0.04583561420440674,0.0416465699672699,0.047611773014068604,0.07847625017166138,0.0836227536201477,0.0819917619228363,0.08035588264465332,0.06217736005783081,0.1644284427165985,0.07465341687202454,0.09088879823684692,0.11749768257141113,0.11865967512130737,0.06674355268478394,0.0718667209148407,0.08523130416870117,0.05459403991699219,0.09917590022087097,0.09965994954109192,0.04564929008483887,0.07162728905677795,0.05470097064971924,0.05874526500701904,0.07855024933815002,0.03564378619194031,0.12879392504692078,0.08844974637031555,0.10782977938652039,0.10165581107139587,0.07016795873641968,0.07131123542785645,0.05482560396194458,0.0598166286945343,0.10707473754882812,0.11502781510353088,0.06427672505378723,0.05425447225570679,0.04632249474525452,0.08347991108894348,0.06033363938331604,0.06220090389251709,0.04036515951156616,0.08248668909072876,0.05204018950462341,0.06976732611656189,0.05907171964645386,0.049493104219436646,0.07934364676475525,0.06908977031707764,0.08001059293746948,0.12289729714393616,0.09239867329597473,0.12038633227348328,0.06622344255447388,0.12526270747184753,0.08247348666191101,0.14297986030578613,0.07847744226455688,0.07962256669998169,0.06253978610038757,0.07220456004142761,0.09202849864959717,0.049738794565200806,0.06710916757583618,0.04503461718559265,0.07719302177429199,0.06528270244598389,0.0595068633556366,0.056818246841430664,0.08774206042289734,0.05402490496635437,0.12385869026184082,0.10411497950553894,0.1183219850063324,0.05982527136802673,0.06644222140312195
