cytokine,cell,Cell ontology Label
TGFB,CL_0000236,B cell
TGFB,CL_0000893,thymocyte
CCL4,CL_0000084,T cell
HGF,CL_0002139,endothelial cell of vascular tree
KITLG,CL_0000037,hematopoietic stem cell
CXCL6,CL_0000775,neutrophil
IL1,CL_0002092,bone marrow cell
SPP1,CL_0000092,osteoclast
CCL2,CL_0000542,lymphocyte
KITLG,CL_0000148,melanocyte
GDF15,CL_0000218,myelinating Schwann cell
TGFB,CL_0000127,astrocyte
IL18,CL_0000625,"CD8-positive, alpha-beta T cell"
IL4,CL_0000581,peritoneal macrophage
IL7,CL_0000909,"CD8-positive, alpha-beta memory T cell"
CSF1,CL_0000034,stem cell
IL12,CL_0000546,T-helper 2 cell
CSF2,CL_0000322,pneumocyte
CSF2,CL_0000545,T-helper 1 cell
CCL20,CL_0000899,T-helper 17 cell
IFNG,CL_0000091,Kupffer cell
CXCL8,CL_0000097,mast cell
IL4,CL_0002328,bronchial epithelial cell
TNF,CL_0002328,bronchial epithelial cell
IL1,CL_0000771,eosinophil
FGF2,CL_0000746,cardiac muscle cell
IL34,CL_0000235,macrophage
IFNG,CL_0002563,intestinal epithelial cell
IFNG,CL_0000097,mast cell
TGFB,CL_0000546,T-helper 2 cell
CSF3,CL_0000235,macrophage
TNF,CL_0000453,Langerhans cell
IL11,CL_0000092,osteoclast
FGF2,CL_0000127,astrocyte
IL3,CL_0000049,common myeloid progenitor
IL13,CL_0000625,"CD8-positive, alpha-beta T cell"
IL3,CL_0000542,lymphocyte
KITLG,CL_0000034,stem cell
CX3CL1,CL_0000542,lymphocyte
IL1B,CL_0000128,oligodendrocyte
IFNB1,CL_0000127,astrocyte
TGFB1,CL_0002363,keratocyte
TGFB2,CL_0000057,fibroblast
XCL1,CL_0000084,T cell
IFNA,CL_0000451,dendritic cell
IL10,CL_0000129,microglial cell
TGFB1,CL_0000669,pericyte cell
IL2,CL_0000233,platelet
EPO,CL_0000056,myoblast
IL13,CL_0000624,"CD4-positive, alpha-beta T cell"
IL1B,CL_0000182,hepatocyte
IL12,CL_0000910,cytotoxic T cell
IL33,CL_0000160,goblet cell
CXCL8,CL_0000092,osteoclast
IFNA,CL_0000556,megakaryocyte
CCL2,CL_0000625,"CD8-positive, alpha-beta T cell"
EGF,CL_0000192,smooth muscle cell
IL1,CL_0000094,granulocyte
FGF2,CL_0000235,macrophage
CCL2,CL_0000860,classical monocyte
CXCL12,CL_0000138,chondrocyte
IL21,CL_0000545,T-helper 1 cell
IL4,CL_0000038,erythroid progenitor cell
IL7,CL_0000138,chondrocyte
IL1A,CL_0000499,stromal cell
TNF,CL_0000160,goblet cell
IL5,CL_0000819,B-1 B cell
IL7,CL_0000057,fibroblast
IL13,CL_0002363,keratocyte
IL6,CL_0000650,mesangial cell
RETN,CL_0002334,preadipocyte
IFNL3,CL_0000623,natural killer cell
IL10,CL_0002619,adult endothelial progenitor cell
LIF,CL_0000047,neuronal stem cell
TGFB1,CL_0000775,neutrophil
CCL11,CL_0000576,monocyte
IL1B,CL_0000037,hematopoietic stem cell
IFNA,CL_0000813,memory T cell
CXCL8,CL_0000136,fat cell
PF4,CL_0000556,megakaryocyte
TGFB2,CL_0000540,neuron
CXCL10,CL_0000625,"CD8-positive, alpha-beta T cell"
IL4,CL_0000066,epithelial cell
TNF,CL_0000740,retinal ganglion cell
IFNG,CL_0000160,goblet cell
CCL8,CL_0000738,leukocyte
IL4,CL_0000499,stromal cell
IL17A,CL_0002563,intestinal epithelial cell
IL33,CL_0000542,lymphocyte
IL1B,CL_0000137,osteocyte
SPP1,CL_0000545,T-helper 1 cell
IL1B,CL_0002548,cardiac fibroblast
IL6,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB,CL_0002224,lens epithelial cell
TNF,CL_0000056,myoblast
IL13,CL_0000542,lymphocyte
TGFB,CL_0002544,aortic endothelial cell
TGFA,CL_0000127,astrocyte
IL7,CL_0002489,double negative thymocyte
CSF2,CL_0000092,osteoclast
IL6,CL_0000499,stromal cell
IL15,CL_0000909,"CD8-positive, alpha-beta memory T cell"
TGFB,CL_0002064,pancreatic acinar cell
IL12,CL_0000129,microglial cell
EPO,CL_0000653,glomerular visceral epithelial cell
IL13,CL_0000084,T cell
IL4,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL3,CL_0000553,megakaryocyte progenitor cell
CSF2,CL_0002619,adult endothelial progenitor cell
XCL1,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNG,CL_0000893,thymocyte
IL2,CL_0000023,oocyte
CSF3,CL_1001319,bladder cell
IFNG,CL_0002328,bronchial epithelial cell
CCL7,CL_0000775,neutrophil
IL11,CL_0000038,erythroid progenitor cell
IL33,CL_0000125,glial cell
IL1,CL_0000182,hepatocyte
IL1A,CL_0002139,endothelial cell of vascular tree
PF4,CL_0000145,professional antigen presenting cell
TGFB1,CL_0000082,epithelial cell of lung
TGFB1,CL_0002620,skin fibroblast
IL15,CL_0000798,gamma-delta T cell
RETN,CL_0000037,hematopoietic stem cell
IFN1,CL_0000542,lymphocyte
CX3CL1,CL_0000650,mesangial cell
CSF2,CL_0000767,basophil
IL1B,CL_0000653,glomerular visceral epithelial cell
EPO,CL_0000775,neutrophil
THPO,CL_0000050,megakaryocyte-erythroid progenitor cell
IL11,CL_0000499,stromal cell
CXCL8,CL_0002138,endothelial cell of lymphatic vessel
FGF2,CL_1001607,articular chondrocyte
CXCL12,CL_0000135,fibrocyte
TNF,CL_0000061,cementoblast
IL17A,CL_0000576,monocyte
IL4,CL_0000898,naive T cell
IL2,CL_0000115,endothelial cell
IL15,CL_0000097,mast cell
CCL4,CL_0000122,stellate cell
EGF,CL_0002327,mammary epithelial cell
EPO,CL_0000746,cardiac muscle cell
IL2,CL_0000788,naive B cell
EGF,CL_0000047,neuronal stem cell
IFNB1,CL_0000115,endothelial cell
CXCL12,CL_0000125,glial cell
CSF3,CL_0000182,hepatocyte
CXCL8,CL_0000138,chondrocyte
TGFB,CL_0002322,embryonic stem cell
IFN1,CL_0000624,"CD4-positive, alpha-beta T cell"
IL1,CL_0000066,epithelial cell
IFNG,CL_0002368,respiratory epithelial cell
FGF2,CL_0000622,acinar cell
IL23,CL_0000775,neutrophil
IL17A,CL_0000084,T cell
IFN1,CL_0000540,neuron
IFNG,CL_0000813,memory T cell
CXCL12,CL_0000775,neutrophil
CSF2,CL_0000910,cytotoxic T cell
CSF3,CL_0002092,bone marrow cell
CCL4,CL_0000632,hepatic stellate cell
IL4,CL_0000136,fat cell
IL17,CL_0000545,T-helper 1 cell
OSM,CL_0000182,hepatocyte
TGFB1,CL_1000490,mesothelial cell of peritoneum
PDGF,CL_0002619,adult endothelial progenitor cell
IFNA,CL_0000898,naive T cell
IL1,CL_0000581,peritoneal macrophage
IL4,CL_0000815,regulatory T cell
TNF,CL_0000514,smooth muscle myoblast
IL17A,CL_0000057,fibroblast
IL32,CL_0000771,eosinophil
IL22,CL_0000037,hematopoietic stem cell
IL1A,CL_0000359,vascular associated smooth muscle cell
IL27,CL_0000236,B cell
TNFSF15,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNA,CL_0000557,granulocyte monocyte progenitor cell
CXCL12,CL_0000817,precursor B cell
IFN1,CL_0000782,myeloid dendritic cell
IL18,CL_0000746,cardiac muscle cell
IFNB1,CL_0000451,dendritic cell
IL1B,CL_1001608,foreskin fibroblast
TGFB,CL_0000359,vascular associated smooth muscle cell
IFNG,CL_0000499,stromal cell
IL18,CL_0000814,mature NK T cell
CCL5,CL_0000129,microglial cell
IL15,CL_0000898,naive T cell
CXCL1,CL_0000092,osteoclast
TGFB1,CL_0000815,regulatory T cell
CCL3,CL_0000576,monocyte
IL6,CL_0002038,T follicular helper cell
IL27,CL_0000623,natural killer cell
CSF2,CL_0000115,endothelial cell
TGFB,CL_0000082,epithelial cell of lung
IFNA,CL_0000094,granulocyte
CSF2,CL_0000214,synovial cell
IL13,CL_0000653,glomerular visceral epithelial cell
IL3,CL_0000050,megakaryocyte-erythroid progenitor cell
CXCL12,CL_0000099,interneuron
TGFB1,CL_0000136,fat cell
IL12,CL_0000034,stem cell
IL12,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
IL17,CL_0000576,monocyte
IL13,CL_0000890,alternatively activated macrophage
CCL3,CL_0000771,eosinophil
KITLG,CL_0000038,erythroid progenitor cell
IL18,CL_0000062,osteoblast
TNF,CL_0000082,epithelial cell of lung
IL1A,CL_0000066,epithelial cell
IL33,CL_0000763,myeloid cell
IL16,CL_0000084,T cell
IL4,CL_0000912,helper T cell
KITLG,CL_0000541,melanoblast
PPBP,CL_0000775,neutrophil
TGFB1,CL_0000192,smooth muscle cell
IL1RN,CL_0000738,leukocyte
TGFB2,CL_0000092,osteoclast
IL18,CL_1001607,articular chondrocyte
IFNA,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNG,CL_0000911,effector T cell
TGFB,CL_1000742,glomerular mesangial cell
TGFA,CL_0000540,neuron
CCL5,CL_0000625,"CD8-positive, alpha-beta T cell"
IL33,CL_0000129,microglial cell
IL1B,CL_0000546,T-helper 2 cell
TNF,CL_0000051,common lymphoid progenitor
IL10,CL_0000057,fibroblast
TNF,CL_0000557,granulocyte monocyte progenitor cell
CXCL10,CL_0000775,neutrophil
FGF1,CL_0000057,fibroblast
IL33,CL_0000767,basophil
IFNG,CL_0000169,type B pancreatic cell
TNF,CL_0002319,neural cell
IFNA,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB1,CL_0002138,endothelial cell of lymphatic vessel
IL4,CL_0000312,keratinocyte
FGF2,CL_0000738,leukocyte
CXCL12,CL_0000235,macrophage
IFNA,CL_0000910,cytotoxic T cell
TNF,CL_0000374,trichogen cell
CCL3,CL_0000034,stem cell
CD40LG,CL_0000969,regulatory B cell
IL12,CL_0000899,T-helper 17 cell
IL15,CL_0000771,eosinophil
IL17A,CL_0000545,T-helper 1 cell
IL1B,CL_0000624,"CD4-positive, alpha-beta T cell"
TNFSF4,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL18,CL_0000312,keratinocyte
TGFB,CL_0002320,connective tissue cell
IL10,CL_0000581,peritoneal macrophage
IL6,CL_0000545,T-helper 1 cell
IL4,CL_0000816,immature B cell
IL1,CL_0000546,T-helper 2 cell
SPP1,CL_0000062,osteoblast
IL17A,CL_0000738,leukocyte
IL3,CL_0000817,precursor B cell
IL1B,CL_0000746,cardiac muscle cell
CXCL12,CL_0000556,megakaryocyte
IL21,CL_0002038,T follicular helper cell
CSF3,CL_0000100,motor neuron
CCL2,CL_0000198,pain receptor cell
LTA,CL_0000625,"CD8-positive, alpha-beta T cell"
IL1B,CL_0002334,preadipocyte
GDF15,CL_0000115,endothelial cell
IL3,CL_0000233,platelet
IL17A,CL_0000771,eosinophil
CCL2,CL_0000135,fibrocyte
CCL18,CL_0000084,T cell
IL33,CL_0000746,cardiac muscle cell
IL2,CL_0000312,keratinocyte
CCL20,CL_0000542,lymphocyte
IL2,CL_0000898,naive T cell
FGF2,CL_0000066,epithelial cell
IL17,CL_0000134,mesenchymal cell
TGFB1,CL_0000501,granulosa cell
IL1B,CL_0000134,mesenchymal cell
CD40LG,CL_0000576,monocyte
TGFB1,CL_0000100,motor neuron
IL6,CL_0001035,bone cell
FGF2,CL_0000233,platelet
IFNG,CL_0000094,granulocyte
PF4,CL_0000057,fibroblast
PF4,CL_0000775,neutrophil
CSF1,CL_0000091,Kupffer cell
IL1,CL_0000540,neuron
IL1A,CL_0000034,stem cell
IL2,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
CCL4,CL_0000542,lymphocyte
IL17,CL_0002328,bronchial epithelial cell
IL3,CL_0000115,endothelial cell
IL7,CL_0000623,natural killer cell
IL9,CL_0000084,T cell
CSF3,CL_0000700,dopaminergic neuron
CCL2,CL_0000066,epithelial cell
IL2,CL_0002404,fetal thymocyte
TGFB,CL_1001319,bladder cell
CCL2,CL_0000623,natural killer cell
PF4,CL_0000738,leukocyte
CSF3,CL_0000771,eosinophil
CCL2,CL_0000653,glomerular visceral epithelial cell
PPBP,CL_0000056,myoblast
TGFA,CL_0000138,chondrocyte
IFNG,CL_0002363,keratocyte
IL6,CL_0000980,plasmablast
CXCL8,CL_0000034,stem cell
IFNB1,CL_0000125,glial cell
IL1B,CL_0000623,natural killer cell
IL7,CL_0000034,stem cell
FGF2,CL_0000129,microglial cell
TGF,CL_0000542,lymphocyte
IL33,CL_0000451,dendritic cell
IL17A,CL_0000233,platelet
TNF,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
LIF,CL_0000127,astrocyte
PPBP,CL_0002320,connective tissue cell
IL10,CL_0000115,endothelial cell
IL15,CL_0002563,intestinal epithelial cell
IL33,CL_0000738,leukocyte
LIF,CL_0000034,stem cell
CXCL10,CL_0000542,lymphocyte
IL6,CL_0000128,oligodendrocyte
LECT1,CL_0000115,endothelial cell
FGF2,CL_0000187,muscle cell
EPO,CL_0002092,bone marrow cell
TGFB3,CL_0000057,fibroblast
TNF,CL_0002619,adult endothelial progenitor cell
TGFB1,CL_0000233,platelet
TNF,CL_0000188,skeletal muscle cell
IL1,CL_0000583,alveolar macrophage
CCL15,CL_0000738,leukocyte
PF4,CL_0000097,mast cell
IFNG,CL_0000187,muscle cell
TGFB,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
CCL3,CL_0000134,mesenchymal cell
PDGF,CL_0002539,aortic smooth muscle cell
TGFB1,CL_1000300,fibroblast of outer membrane of prostatic capsule
IL10,CL_0000890,alternatively activated macrophage
CXCL10,CL_0000624,"CD4-positive, alpha-beta T cell"
IL10,CL_0000097,mast cell
CCL2,CL_0000499,stromal cell
FGF2,CL_0002543,vein endothelial cell
FGF2,CL_0000136,fat cell
PDGFB,CL_0000057,fibroblast
TGFB1,CL_0000351,trophoblast cell
MIF,CL_0000775,neutrophil
IL1RN,CL_0000899,T-helper 17 cell
CSF2,CL_0000097,mast cell
IL11,CL_0000236,B cell
IL4,CL_0000160,goblet cell
PDGF,CL_0000235,macrophage
IL17,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
PDGFB,CL_0000499,stromal cell
IL1B,CL_0000097,mast cell
IL1B,CL_0000556,megakaryocyte
PDGF,CL_0000540,neuron
IL17,CL_0000451,dendritic cell
CCL2,CL_0002231,epithelial cell of prostate
CXCL8,CL_0000057,fibroblast
TGFB2,CL_0000312,keratinocyte
IL27,CL_0000182,hepatocyte
IL4,CL_0002092,bone marrow cell
IL17A,CL_0000623,natural killer cell
IL10,CL_0000540,neuron
IL27,CL_0000624,"CD4-positive, alpha-beta T cell"
TGFB1,CL_0002097,cortical cell of adrenal gland
IL9,CL_0000738,leukocyte
CCL2,CL_0000136,fat cell
CCL2,CL_0000863,inflammatory macrophage
FGF2,CL_0002418,hemangioblast
HGF,CL_0000169,type B pancreatic cell
CCL3,CL_0000624,"CD4-positive, alpha-beta T cell"
TGFB,CL_0000775,neutrophil
CXCL10,CL_0000182,hepatocyte
CSF2,CL_0000145,professional antigen presenting cell
IL6,CL_0000034,stem cell
IL2,CL_0002608,hippocampal neuron
IL36G,CL_0000312,keratinocyte
IL12,CL_0000824,mature natural killer cell
CXCL8,CL_0000763,myeloid cell
IL6,CL_0000819,B-1 B cell
IL23,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IFNG,CL_0000128,oligodendrocyte
IL4,CL_0000115,endothelial cell
TGFB,CL_0000322,pneumocyte
IFNB1,CL_0000863,inflammatory macrophage
IL12,CL_0000771,eosinophil
EPO,CL_0000034,stem cell
IL1,CL_0000623,natural killer cell
RETN,CL_0000233,platelet
IFNG,CL_0000138,chondrocyte
CSF1,CL_0000094,granulocyte
IL15,CL_0000813,memory T cell
CSF2,CL_0000623,natural killer cell
FGF2,CL_0002144,capillary endothelial cell
CXCL12,CL_0000312,keratinocyte
IL15,CL_0000066,epithelial cell
IL6,CL_0000136,fat cell
IL5,CL_0000767,basophil
TNF,CL_0000700,dopaminergic neuron
CSF2,CL_0000556,megakaryocyte
FGF2,CL_0000182,hepatocyte
CXCL8,CL_0000082,epithelial cell of lung
IL7,CL_0000545,T-helper 1 cell
CSF3,CL_0000096,mature neutrophil
IL34,CL_0000576,monocyte
IL10,CL_0000763,myeloid cell
IL6,CL_0002548,cardiac fibroblast
LIF,CL_0000128,oligodendrocyte
IL3,CL_0000236,B cell
IL1B,CL_0002322,embryonic stem cell
IFNG,CL_0000034,stem cell
CX3CL1,CL_0000624,"CD4-positive, alpha-beta T cell"
IL2,CL_0000902,induced T-regulatory cell
IL1B,CL_0000763,myeloid cell
TGFB,CL_0000128,oligodendrocyte
TGFB,CL_0000351,trophoblast cell
IL4,CL_0000844,germinal center B cell
IL2,CL_0000557,granulocyte monocyte progenitor cell
IL1A,CL_0000738,leukocyte
CCL19,CL_0000084,T cell
TGFB,CL_0000148,melanocyte
IL15,CL_0000913,"effector memory CD8-positive, alpha-beta T cell"
GDF15,CL_0000066,epithelial cell
TNF,CL_0000501,granulosa cell
CCL5,CL_0000576,monocyte
IL3,CL_0000081,blood cell
CD40LG,CL_0000545,T-helper 1 cell
IL18,CL_0000910,cytotoxic T cell
CXCL12,CL_0002319,neural cell
CCL17,CL_0000624,"CD4-positive, alpha-beta T cell"
IL4,CL_0000557,granulocyte monocyte progenitor cell
IL2,CL_0000899,T-helper 17 cell
CXCL12,CL_0000134,mesenchymal cell
IL1,CL_1001607,articular chondrocyte
CCL5,CL_0000542,lymphocyte
PF4,CL_0000235,macrophage
TNFSF4,CL_0000236,B cell
CD40LG,CL_0000540,neuron
CXCL9,CL_0000322,pneumocyte
IFNB1,CL_0002368,respiratory epithelial cell
IL21,CL_0000097,mast cell
KITLG,CL_0000134,mesenchymal cell
CXCL10,CL_0000545,T-helper 1 cell
IL6,CL_0000048,multi fate stem cell
CCL4,CL_0002092,bone marrow cell
SPP1,CL_0000624,"CD4-positive, alpha-beta T cell"
IL22,CL_0000775,neutrophil
TNFSF15,CL_0002139,endothelial cell of vascular tree
IL12,CL_0002128,Tc17 cell
IL3,CL_0000129,microglial cell
SPP1,CL_0000576,monocyte
IL1B,CL_0000767,basophil
CXCL9,CL_0000236,B cell
TGFB1,CL_0000912,helper T cell
CSF1,CL_0000023,oocyte
TNFSF8,CL_0000097,mast cell
PDGF,CL_0000187,muscle cell
CD40LG,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL20,CL_0000066,epithelial cell
TNFSF14,CL_0000084,T cell
IL22,CL_0000899,T-helper 17 cell
CX3CL1,CL_0000451,dendritic cell
CCL5,CL_0000233,platelet
IL23,CL_0000771,eosinophil
IL5,CL_0000034,stem cell
PDGF,CL_0000135,fibrocyte
IL12B,CL_0000236,B cell
IL10,CL_0000037,hematopoietic stem cell
IL3,CL_0000624,"CD4-positive, alpha-beta T cell"
RETN,CL_0000235,macrophage
IL1A,CL_0000576,monocyte
CSF1,CL_0000763,myeloid cell
IL4,CL_0000895,"naive thymus-derived CD4-positive, alpha-beta T cell"
CSF2,CL_0000540,neuron
CCL5,CL_0000236,B cell
CCL26,CL_0000623,natural killer cell
IFN1,CL_0000711,cumulus cell
IL12,CL_0000911,effector T cell
IL10,CL_0000066,epithelial cell
SPP1,CL_0000134,mesenchymal cell
IL1A,CL_0000622,acinar cell
IFNG,CL_0000647,multinucleated giant cell
IL27,CL_0000451,dendritic cell
PF4,CL_0000084,T cell
CCL2,CL_0000632,hepatic stellate cell
TGFB1,CL_0000388,tendon cell
CCL2,CL_0000784,plasmacytoid dendritic cell
IL32,CL_0000136,fat cell
TNFSF15,CL_0000625,"CD8-positive, alpha-beta T cell"
CCL20,CL_0000235,macrophage
GDF15,CL_0002627,mature astrocyte
HGF,CL_0000148,melanocyte
TGFB,CL_1000490,mesothelial cell of peritoneum
LECT1,CL_0000236,B cell
TGFB,CL_0002092,bone marrow cell
CCL6,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNG,CL_0000700,dopaminergic neuron
CCL15,CL_0000771,eosinophil
IL7,CL_0000514,smooth muscle myoblast
IL23,CL_0000499,stromal cell
CXCL2,CL_0000182,hepatocyte
IL10,CL_0000113,mononuclear phagocyte
IL11,CL_0002563,intestinal epithelial cell
CSF3,CL_0000839,myeloid lineage restricted progenitor cell
FGF2,CL_0000223,endodermal cell
IL1,CL_0000097,mast cell
CCL25,CL_0000084,T cell
TNF,CL_0000546,T-helper 2 cell
CX3CL1,CL_0000235,macrophage
IL10,CL_0000813,memory T cell
CD40LG,CL_0000820,B-1a B cell
IL6,CL_0000676,cap cell
IFNA,CL_0000546,T-helper 2 cell
IL11,CL_0000128,oligodendrocyte
IL1B,CL_0000911,effector T cell
FGF2,CL_0002224,lens epithelial cell
RETN,CL_0000738,leukocyte
IL1RN,CL_0000235,macrophage
EGF,CL_0002092,bone marrow cell
IL1B,CL_0002129,regular atrial cardiac myocyte
KITLG,CL_0000586,germ cell
SPP1,CL_0000084,T cell
HGF,CL_0000632,hepatic stellate cell
IL4,CL_0000767,basophil
IL27,CL_0000546,T-helper 2 cell
IL17A,CL_0000169,type B pancreatic cell
IFNA,CL_0002034,long term hematopoietic stem cell
IL27,CL_1000491,mesothelial cell of pleura
RETN,CL_0002619,adult endothelial progenitor cell
OSM,CL_0000127,astrocyte
CSF2,CL_0002476,bone marrow macrophage
TGFB1,CL_0000700,dopaminergic neuron
CXCL12,CL_0000066,epithelial cell
FGF2,CL_0000501,granulosa cell
IL1RN,CL_0000540,neuron
CCL16,CL_0002139,endothelial cell of vascular tree
IL10,CL_0000145,professional antigen presenting cell
PF4,CL_0000034,stem cell
CCL3,CL_0000127,astrocyte
TNFSF13B,CL_0000843,follicular B cell
IFNG,CL_0000816,immature B cell
IL1B,CL_0000359,vascular associated smooth muscle cell
CCL4L2,CL_0000084,T cell
IFNA,CL_0000902,induced T-regulatory cell
PDGFB,CL_0000359,vascular associated smooth muscle cell
CXCL16,CL_0000542,lymphocyte
CXCL2,CL_0000540,neuron
IL17A,CL_0000182,hepatocyte
IFNA,CL_0000771,eosinophil
IL17A,CL_0000066,epithelial cell
IL21,CL_0000235,macrophage
TGFB2,CL_0000134,mesenchymal cell
CCL2,CL_0002477,adipose macrophage
FGF2,CL_0002092,bone marrow cell
KITLG,CL_0000451,dendritic cell
IL10,CL_0000969,regulatory B cell
PF4,CL_0000632,hepatic stellate cell
FGF2,CL_1000497,kidney cell
IFNL1,CL_0000235,macrophage
GDF15,CL_0000023,oocyte
IL10,CL_0002322,embryonic stem cell
IL16,CL_0000771,eosinophil
IL1B,CL_0000817,precursor B cell
IL2,CL_0000169,type B pancreatic cell
IL5,CL_0000041,mature eosinophil
CCL21,CL_0000129,microglial cell
IL17,CL_0000625,"CD8-positive, alpha-beta T cell"
IL18,CL_0000125,glial cell
CCL25,CL_0000576,monocyte
CSF2,CL_0000453,Langerhans cell
IL26,CL_0000623,natural killer cell
IL34,CL_0000540,neuron
CCL6,CL_0000115,endothelial cell
CSF1,CL_0000115,endothelial cell
IFN1,CL_0000798,gamma-delta T cell
TGFB2,CL_0000545,T-helper 1 cell
CXCL2,CL_0000096,mature neutrophil
IL17A,CL_0000763,myeloid cell
CXCL10,CL_0000236,B cell
CXCL14,CL_0000623,natural killer cell
HGF,CL_0000312,keratinocyte
PDGFA,CL_0000128,oligodendrocyte
IL6,CL_0000351,trophoblast cell
IL12,CL_0000187,muscle cell
GDF15,CL_0002609,neuron of cerebral cortex
IFN1,CL_0000625,"CD8-positive, alpha-beta T cell"
FGF2,CL_0000232,erythrocyte
CXCL14,CL_0000084,T cell
IL11,CL_0000557,granulocyte monocyte progenitor cell
TGFB1,CL_1000497,kidney cell
IFNL2,CL_0000775,neutrophil
CCL6,CL_0000097,mast cell
CCL5,CL_0000134,mesenchymal cell
TGFB,CL_0000136,fat cell
IL1,CL_0000034,stem cell
IFNG,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
PDGF,CL_0000061,cementoblast
IL19,CL_0002629,mature microglial cell
TGFA,CL_0000148,melanocyte
CCL7,CL_0000129,microglial cell
IL16,CL_0000576,monocyte
TGF,CL_0000060,odontoblast
IL18,CL_0002425,early T lineage precursor
IL6,CL_0000017,spermatocyte
LTA,CL_0000499,stromal cell
IL10,CL_0000453,Langerhans cell
IL33,CL_0002483,hair follicle melanocyte
TGFA,CL_0000100,motor neuron
IL15,CL_0000056,myoblast
IL4,CL_0001035,bone cell
TGFB,CL_0002367,trabecular meshwork cell
IL6,CL_0002397,"CD14-positive, CD16-positive monocyte"
IL1RN,CL_0000775,neutrophil
IL1B,CL_0002410,pancreatic stellate cell
PPBP,CL_0000771,eosinophil
TNFSF9,CL_0000545,T-helper 1 cell
IL1B,CL_0002543,vein endothelial cell
TNFSF9,CL_0000235,macrophage
LECT2,CL_0000576,monocyte
CXCL8,CL_0000214,synovial cell
IL1RN,CL_0000182,hepatocyte
IL17,CL_0000910,cytotoxic T cell
IL27,CL_0000092,osteoclast
TNFSF15,CL_0000738,leukocyte
EGF,CL_0000077,mesothelial cell
IL1B,CL_0000187,muscle cell
TGFB1,CL_0002372,myotube
IL2,CL_0000903,natural T-regulatory cell
FGF2,CL_0002148,dental pulp cell
CCL2,CL_0000581,peritoneal macrophage
IL1B,CL_0002621,gingival epithelial cell
IL18,CL_0000542,lymphocyte
CCL20,CL_0000451,dendritic cell
LIF,CL_0002322,embryonic stem cell
IL7,CL_0000814,mature NK T cell
TGFB1,CL_0000784,plasmacytoid dendritic cell
IL4,CL_0000826,pro-B cell
GDF15,CL_0000216,Sertoli cell
IL17,CL_0000034,stem cell
IFNA,CL_0000037,hematopoietic stem cell
IL17,CL_0002063,type II pneumocyte
TGFB1,CL_0000148,melanocyte
IL19,CL_0000890,alternatively activated macrophage
CCL3,CL_0000911,effector T cell
CCL5,CL_0000771,eosinophil
IL22,CL_0000057,fibroblast
LECT2,CL_0000738,leukocyte
CSF2,CL_0000881,perivascular macrophage
CXCL12,CL_0000322,pneumocyte
IL19,CL_0000235,macrophage
CCL18,CL_0000136,fat cell
IL10,CL_0002188,glomerular endothelial cell
IL6,CL_0000134,mesenchymal cell
CXCL12,CL_0000048,multi fate stem cell
CXCL1,CL_0000127,astrocyte
IL13,CL_0000492,CD4-positive helper T cell
IL9,CL_0000624,"CD4-positive, alpha-beta T cell"
IL6,CL_0002231,epithelial cell of prostate
IL7,CL_0000798,gamma-delta T cell
CCL26,CL_0000899,T-helper 17 cell
TGFB,CL_0000448,white fat cell
SPP1,CL_0000653,glomerular visceral epithelial cell
TGF,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL6,CL_0000187,muscle cell
FGF2,CL_0002319,neural cell
CCL2,CL_0000624,"CD4-positive, alpha-beta T cell"
IL10,CL_0000860,classical monocyte
RETN,CL_0000775,neutrophil
CCL15,CL_0000092,osteoclast
IL12,CL_0000815,regulatory T cell
IL21,CL_0000899,T-helper 17 cell
IL12,CL_0000782,myeloid dendritic cell
IL1B,CL_0000542,lymphocyte
IL12,CL_0000775,neutrophil
IFNG,CL_0002138,endothelial cell of lymphatic vessel
IL33,CL_0000135,fibrocyte
IL7,CL_1001319,bladder cell
IL1,CL_0000037,hematopoietic stem cell
IL9,CL_0000546,T-helper 2 cell
CXCL16,CL_0000738,leukocyte
IFNA,CL_0000787,memory B cell
CCL26,CL_0000763,myeloid cell
IL23,CL_0000625,"CD8-positive, alpha-beta T cell"
CCL21,CL_0000236,B cell
CCL19,CL_0000623,natural killer cell
GDF15,CL_0000128,oligodendrocyte
IL6,CL_0000453,Langerhans cell
IL34,CL_0000115,endothelial cell
PF4,CL_0000122,stellate cell
