cytokine,cell,Cell ontology Label
IFNB1,CL_0000235,macrophage
IFNG,CL_0000738,leukocyte
IL7,CL_0000542,lymphocyte
EPO,CL_0000233,platelet
TNF,CL_0000312,keratinocyte
CXCL12,CL_0000084,T cell
IL4,CL_0000771,eosinophil
IL10,CL_0000625,"CD8-positive, alpha-beta T cell"
IL1B,CL_0000127,astrocyte
IL1,CL_0000235,macrophage
FGF2,CL_0000134,mesenchymal cell
TNF,CL_0000623,natural killer cell
TNF,CL_0000129,microglial cell
TNF,CL_0000062,osteoblast
IL4,CL_0000097,mast cell
IL1B,CL_0000169,type B pancreatic cell
IFNB1,CL_0000084,T cell
CCL2,CL_0000738,leukocyte
TGFB,CL_0000066,epithelial cell
IFNA,CL_0000236,B cell
IL33,CL_0000546,T-helper 2 cell
IL6,CL_0000738,leukocyte
EGF,CL_0000057,fibroblast
CSF3,CL_0000084,T cell
TGFB,CL_0000576,monocyte
IL4,CL_0000625,"CD8-positive, alpha-beta T cell"
CXCL8,CL_0000115,endothelial cell
TNFSF9,CL_0000625,"CD8-positive, alpha-beta T cell"
FGF2,CL_0000056,myoblast
IL6,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TNF,CL_0000127,astrocyte
IFNA,CL_0000235,macrophage
IL6,CL_0000115,endothelial cell
IL6,CL_0000540,neuron
CXCL13,CL_0000236,B cell
IL7,CL_0000625,"CD8-positive, alpha-beta T cell"
HGF,CL_0000115,endothelial cell
IL33,CL_0000097,mast cell
IL1,CL_0000542,lymphocyte
IL7,CL_0000624,"CD4-positive, alpha-beta T cell"
IL10,CL_0000546,T-helper 2 cell
IL6,CL_0000786,plasma cell
TGFB,CL_0000312,keratinocyte
FGF2,CL_0000148,melanocyte
IL21,CL_0000623,natural killer cell
CCL2,CL_0000084,T cell
TNF,CL_0002139,endothelial cell of vascular tree
IL2,CL_0000738,leukocyte
IL3,CL_0000034,stem cell
IL1,CL_0000092,osteoclast
CD40LG,CL_0000233,platelet
CSF2,CL_0000233,platelet
IL1A,CL_0000057,fibroblast
IL18,CL_0000775,neutrophil
IL21,CL_0000084,T cell
PDGF,CL_0000233,platelet
CXCL12,CL_0000115,endothelial cell
IFN1,CL_0000235,macrophage
IL6,CL_0000556,megakaryocyte
CSF2,CL_0000557,granulocyte monocyte progenitor cell
CSF2,CL_0000583,alveolar macrophage
IFNG,CL_0000540,neuron
IL6,CL_0000542,lymphocyte
CXCL8,CL_0000771,eosinophil
TGFB,CL_0000134,mesenchymal cell
IFNG,CL_0000127,astrocyte
IL1,CL_0000738,leukocyte
TGFB1,CL_0000624,"CD4-positive, alpha-beta T cell"
TGFB1,CL_0000576,monocyte
IL17A,CL_0000775,neutrophil
CXCL12,CL_0000542,lymphocyte
IL12,CL_0000542,lymphocyte
IL15,CL_0000542,lymphocyte
TGFB1,CL_0000138,chondrocyte
CXCL10,CL_0000084,T cell
TNF,CL_0000451,dendritic cell
IL22,CL_0000312,keratinocyte
FGF2,CL_0000192,smooth muscle cell
FGF2,CL_0000138,chondrocyte
FGF2,CL_0000034,stem cell
TGFB1,CL_0000134,mesenchymal cell
IL6,CL_0000066,epithelial cell
IL6,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNB1,CL_0000576,monocyte
IL10,CL_0000738,leukocyte
IFNG,CL_0000113,mononuclear phagocyte
TNFSF11,CL_0000092,osteoclast
TGFB1,CL_0000650,mesangial cell
IL10,CL_0000901,Tr1 cell
IL3,CL_0000556,megakaryocyte
CCL2,CL_0000057,fibroblast
TGFB,CL_0000623,natural killer cell
IL10,CL_0000623,natural killer cell
TGFA,CL_0000182,hepatocyte
IL7,CL_0000817,precursor B cell
CCL26,CL_0000771,eosinophil
TNF,CL_0002563,intestinal epithelial cell
RETN,CL_0000576,monocyte
IL12,CL_0000235,macrophage
IL4,CL_0000890,alternatively activated macrophage
IFNB1,CL_0000236,B cell
IL4,CL_0000545,T-helper 1 cell
EPO,CL_0000115,endothelial cell
IL6,CL_0000899,T-helper 17 cell
IL1,CL_0000127,astrocyte
IFNA,CL_0000784,plasmacytoid dendritic cell
IL2,CL_0000798,gamma-delta T cell
TNF,CL_0000128,oligodendrocyte
CD40LG,CL_0000451,dendritic cell
IL2,CL_0000771,eosinophil
CSF3,CL_0000576,monocyte
IL3,CL_0000084,T cell
CX3CL1,CL_0000623,natural killer cell
CXCL5,CL_0000775,neutrophil
RETN,CL_0000136,fat cell
IL13,CL_0000576,monocyte
TNF,CL_0000233,platelet
IL1B,CL_0000738,leukocyte
IL1B,CL_0000062,osteoblast
CCL3,CL_0000092,osteoclast
IL13,CL_0000235,macrophage
TGFB,CL_0000115,endothelial cell
IL6,CL_0000097,mast cell
IL18,CL_0000545,T-helper 1 cell
CXCL8,CL_0000576,monocyte
EGF,CL_0000066,epithelial cell
FGF1,CL_0000540,neuron
TGFB1,CL_0000499,stromal cell
TNF,CL_0000746,cardiac muscle cell
TNF,CL_0000624,"CD4-positive, alpha-beta T cell"
IL1A,CL_0000092,osteoclast
PDGF,CL_0000192,smooth muscle cell
TGFB1,CL_0000127,astrocyte
IL33,CL_0000235,macrophage
CCL21,CL_0000084,T cell
IL33,CL_0000625,"CD8-positive, alpha-beta T cell"
CSF3,CL_0000557,granulocyte monocyte progenitor cell
TGFB,CL_0002363,keratocyte
IL7,CL_0000893,thymocyte
TNF,CL_0000138,chondrocyte
CSF1,CL_0000113,mononuclear phagocyte
TGFB,CL_0000192,smooth muscle cell
TGFB1,CL_0000092,osteoclast
IL1B,CL_0000771,eosinophil
IL6,CL_0000746,cardiac muscle cell
IL27,CL_0000545,T-helper 1 cell
IFNG,CL_0000863,inflammatory macrophage
CXCL12,CL_0000540,neuron
IL12,CL_0000814,mature NK T cell
IL1B,CL_0000115,endothelial cell
IL2,CL_0000775,neutrophil
TNF,CL_0002543,vein endothelial cell
IL3,CL_0002092,bone marrow cell
IL12,CL_0000236,B cell
TNF,CL_0000581,peritoneal macrophage
TNF,CL_0002322,embryonic stem cell
TNF,CL_0000499,stromal cell
CSF2,CL_0002092,bone marrow cell
CSF2,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB,CL_0002327,mammary epithelial cell
TGFB1,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IFN1,CL_0000084,T cell
TNFSF4,CL_0000084,T cell
IFNG,CL_0000910,cytotoxic T cell
IL1A,CL_0000312,keratinocyte
IFNG,CL_0000451,dendritic cell
TGFB1,CL_0002548,cardiac fibroblast
TGFB1,CL_0000097,mast cell
IL4,CL_0000057,fibroblast
TNF,CL_0000097,mast cell
TGFB,CL_0000624,"CD4-positive, alpha-beta T cell"
IL13,CL_0000236,B cell
IL17,CL_0000235,macrophage
IL17,CL_0000236,B cell
TGFB1,CL_0000129,microglial cell
IL3,CL_0000557,granulocyte monocyte progenitor cell
CSF1,CL_0000129,microglial cell
IL16,CL_0000624,"CD4-positive, alpha-beta T cell"
CSF2,CL_0000581,peritoneal macrophage
TNF,CL_0000094,granulocyte
