,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
fre,4.0,7.0,18.0,19.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,11.0,29.0,2.0,2.0,2.0,10.0,20.0,1.0,1.0,4.0,4.0,60.0,6.0,20.0,8.0,7.0,19.0,1.0,7.0,2.0,5.0,35.0,1.0,2.0,2.0,6.0,17.0,11.0,18.0,14.0,8.0,10.0,5.0,14.0,9.0,9.0,7.0,1.0,4.0,1.0,18.0,6.0,8.0,4.0,2.0,5.0,12.0,23.0,50.0,38.0,1.0,1.0,1.0,20.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,12.0,4.0,2.0,16.0,4.0,1.0,4.0,31.0,1.0,32.0,21.0,19.0,1.0,11.0,6.0,2.0,1.0,29.0,6.0,6.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,25.0,33.0,24.0,1.0,2.0,4.0,7.0,7.0,3.0,2.0,4.0,47.0,14.0,10.0,1.0,8.0,32.0,40.0,1.0,2.0,2.0,5.0,1.0,22.0,5.0,4.0,4.0,1.0,1.0,1.0,5.0,6.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,9.0,1.0,9.0,13.0,2.0,3.0,2.0,4.0,6.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,8.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,9.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0
roc_auc,0.5147058823529411,0.49350649350649345,0.7045454545454545,0.6545674531155474,0.5098039215686275,0.819047619047619,0.3047619047619048,0.5514705882352942,0.6666666666666667,0.5432692307692308,0.4476190476190476,0.738755980861244,0.8884908195253023,0.44711538461538464,0.889423076923077,0.9134615384615384,0.8083333333333333,0.7453488372093022,0.7523809523809524,0.38095238095238093,0.7132352941176471,0.7524509803921569,0.7083333333333334,0.8516666666666667,0.7749999999999999,0.7729591836734694,0.8152958152958152,0.6715063520871143,0.07619047619047614,0.8311688311688312,0.5865384615384615,0.7326732673267327,0.7352112676056338,0.32380952380952377,0.5384615384615384,0.36538461538461536,0.6683333333333333,0.8288169200264376,0.7492822966507178,0.5599747474747474,0.812888198757764,0.6096938775510204,0.6895833333333333,0.7544554455445545,0.8431677018633541,0.7056128293241695,0.7296678121420389,0.8210678210678211,0.780952380952381,0.7916666666666667,0.5523809523809524,0.6351010101010102,0.8116666666666666,0.8737244897959183,0.9509803921568626,0.9230769230769231,0.4554455445544554,0.6852836879432624,0.8035620743844945,0.6171428571428571,0.7507739938080494,0.6666666666666667,0.7428571428571429,0.4571428571428572,0.7930232558139535,0.9428571428571428,0.3317307692307693,0.6490384615384615,0.8557692307692307,0.3047619047619048,0.3656957928802589,0.6699029126213591,0.3413461538461538,0.9428571428571428,0.22857142857142854,0.9238095238095239,0.7792553191489362,0.9142156862745099,0.7740384615384616,0.8263888888888888,0.8676470588235294,0.9428571428571428,0.8235294117647058,0.7423655913978494,0.7619047619047619,0.7981418918918919,0.7047619047619047,0.8287961282516636,0.35238095238095235,0.6220095693779905,0.87,0.5144230769230769,0.6857142857142857,0.8320644872369011,0.8166666666666667,0.8116666666666666,0.8431372549019608,0.7378640776699029,0.3074433656957929,0.5047619047619047,0.47619047619047616,0.375,0.4519230769230769,0.6024691358024692,0.7185554171855543,0.7682926829268293,0.638095238095238,0.22115384615384615,0.3480392156862745,0.8802308802308803,0.7186147186147187,0.6504854368932038,0.6153846153846154,0.8063725490196079,0.8088712585647314,0.796583850931677,0.6427083333333333,0.2571428571428571,0.6262755102040817,0.761402027027027,0.7553030303030303,0.9714285714285714,0.6634615384615384,0.5865384615384616,0.7742574257425743,0.4285714285714286,0.6661255411255411,0.8,0.9387254901960784,0.7769607843137255,0.4666666666666667,0.3047619047619048,0.6857142857142857,0.3702970297029703,0.7633333333333334,0.6950495049504951,0.39903846153846156,0.8099009900990098,0.6911764705882353,0.5238095238095238,0.38095238095238093,0.9809523809523809,0.4095238095238095,0.6571428571428571,0.6,0.22115384615384615,0.6761904761904762,0.4134615384615385,0.5686274509803921,0.9238095238095239,0.823529411764706,0.699885452462772,0.6190476190476191,0.6987399770904926,0.7353184449958644,0.5913461538461539,0.7928802588996764,0.7115384615384616,0.39950980392156865,0.9333333333333333,0.7388316151202748,0.7512755102040817,0.2761904761904762,0.8666666666666667,0.8952380952380953,0.9142857142857143,0.3904761904761904,0.5432692307692308,0.47619047619047616,0.23809523809523814,0.18095238095238098,0.1428571428571429,0.8137755102040816,0.6394230769230769,0.7410714285714286,0.2571428571428571,0.6095238095238096,0.6476190476190475,0.6285714285714286,0.6761904761904762,0.5809523809523809,0.4,0.9182692307692307,0.7523809523809524,0.899009900990099,0.5523809523809524,0.659438775510204,0.6586538461538461,0.5404530744336569,0.9215686274509803,0.4666666666666667,0.6105769230769231,0.3142857142857143,0.6095238095238096,0.795093795093795,0.6826923076923077,0.7904761904761904,0.9238095238095239,0.35096153846153844,0.819047619047619,0.5238095238095238,0.7714285714285715,0.5714285714285714,0.780952380952381,0.5428571428571429,0.9142857142857143,0.4571428571428572,0.8990384615384616,0.5047619047619047,0.821078431372549,0.1333333333333333,0.7572815533980582,0.7571592210767468,0.8095238095238095,0.6857142857142857,0.6691176470588236,0.8666666666666667,0.5809523809523809,0.2857142857142857,0.8571428571428572,0.780952380952381,0.8076923076923077,0.6476190476190475,0.6519607843137255,0.2952380952380952,0.9375,0.819047619047619
roc_thr,0.035899579524993896,0.12169671058654785,0.28332841396331787,0.28647735714912415,0.08166882395744324,0.07082861661911011,0.03838956356048584,0.05696675181388855,0.05708038806915283,0.05668488144874573,0.03858077526092529,0.14912018179893494,0.3582345247268677,0.0546242892742157,0.07982879877090454,0.10385406017303467,0.15764310956001282,0.22378501296043396,0.07551968097686768,0.03584572672843933,0.0964193046092987,0.07931098341941833,0.6656941175460815,0.09557229280471802,0.2683832049369812,0.17522624135017395,0.11633867025375366,0.2707183361053467,0.025800615549087524,0.12730586528778076,0.03311002254486084,0.1365063190460205,0.3969363868236542,0.039995938539505005,0.027620255947113037,0.035338014364242554,0.08684036135673523,0.23987901210784912,0.12733548879623413,0.21209412813186646,0.1788206696510315,0.1689726710319519,0.12245431542396545,0.10416674613952637,0.16699036955833435,0.16543260216712952,0.09346181154251099,0.2038288712501526,0.06411343812942505,0.07383450865745544,0.04237788915634155,0.24356374144554138,0.12947264313697815,0.11338353157043457,0.14325591921806335,0.0997614860534668,0.08566084504127502,0.2033236026763916,0.2851015329360962,0.5302969217300415,0.4578911364078522,0.05089733004570007,0.06312403082847595,0.044315457344055176,0.2630077004432678,0.1078556478023529,0.05415487289428711,0.04648458957672119,0.06919381022453308,0.03430327773094177,0.045877426862716675,0.08071815967559814,0.05108511447906494,0.0992116630077362,0.03291177749633789,0.08933499455451965,0.1826467514038086,0.11406108736991882,0.09000080823898315,0.23727834224700928,0.09983757138252258,0.10074654221534729,0.08956488966941833,0.3843587636947632,0.049473702907562256,0.4660143554210663,0.3033575117588043,0.29833561182022095,0.03600156307220459,0.17098665237426758,0.1335686445236206,0.04614880681037903,0.04438704252243042,0.4160100221633911,0.13860198855400085,0.13505977392196655,0.10879123210906982,0.1050460934638977,0.0425533652305603,0.04802021384239197,0.048378050327301025,0.04522162675857544,0.0801582932472229,0.3199412226676941,0.4649915099143982,0.326402485370636,0.04932299256324768,0.031289905309677124,0.07321599125862122,0.14695695042610168,0.13787609338760376,0.10021355748176575,0.046113401651382446,0.09856662154197693,0.61735600233078,0.19213879108428955,0.12398141622543335,0.033238500356674194,0.14521470665931702,0.4407234489917755,0.5463235378265381,0.11378106474876404,0.07013824582099915,0.03959336876869202,0.12635284662246704,0.04101043939590454,0.29841965436935425,0.1690370738506317,0.12510588765144348,0.12616470456123352,0.047162532806396484,0.047192543745040894,0.05872693657875061,0.06830903887748718,0.1270899474620819,0.08673161268234253,0.04273542761802673,0.1395585834980011,0.09531840682029724,0.059283673763275146,0.041341543197631836,0.11852771043777466,0.04185861349105835,0.06073474884033203,0.04425513744354248,0.05130183696746826,0.04825037717819214,0.04866093397140503,0.0920928418636322,0.07928109169006348,0.08957698941230774,0.163328617811203,0.06106060743331909,0.14298009872436523,0.21473777294158936,0.03781610727310181,0.09313192963600159,0.06786474585533142,0.08011433482170105,0.15301495790481567,0.11472007632255554,0.15411871671676636,0.038431137800216675,0.07150450348854065,0.07246831059455872,0.08645668625831604,0.03727707266807556,0.04165482521057129,0.054407358169555664,0.03841668367385864,0.02584218978881836,0.03131893277168274,0.18641871213912964,0.050671517848968506,0.19691330194473267,0.031710654497146606,0.04741349816322327,0.0549674928188324,0.06138253211975098,0.04622486233711243,0.04109722375869751,0.04152253270149231,0.09036034345626831,0.06597587466239929,0.19928166270256042,0.052045077085494995,0.12369629740715027,0.04272341728210449,0.07583144307136536,0.16282325983047485,0.04153335094451904,0.03710818290710449,0.0423184335231781,0.05675920844078064,0.14472311735153198,0.05575340986251831,0.07614061236381531,0.09398919343948364,0.05902177095413208,0.07907935976982117,0.062271952629089355,0.06084933876991272,0.04681083559989929,0.06312575936317444,0.054372698068618774,0.08242431282997131,0.038026660680770874,0.08720844984054565,0.035590022802352905,0.13937130570411682,0.02878206968307495,0.11042708158493042,0.16909584403038025,0.06693670153617859,0.053104281425476074,0.06451129913330078,0.07052907347679138,0.04401776194572449,0.03758230805397034,0.07022860646247864,0.05157920718193054,0.06019449234008789,0.04222950339317322,0.07514715194702148,0.033687055110931396,0.11693587899208069,0.06092903017997742
