,cytokine,cell,Cell ontology Label
644,TGFB1,CL_0000746,cardiac muscle cell
645,CCL2,CL_0000236,B cell
646,TGFB1,CL_0002328,bronchial epithelial cell
647,IL11,CL_0000233,platelet
648,PDGF,CL_0000650,mesangial cell
649,IL4,CL_0000214,synovial cell
650,TGFB1,CL_0000187,muscle cell
651,CCL9,CL_0000624,"CD4-positive, alpha-beta T cell"
652,IL3,CL_0000771,eosinophil
653,CXCL1,CL_0000576,monocyte
654,PDGFB,CL_0000669,pericyte cell
655,IFNG,CL_0000584,enterocyte
656,IL1A,CL_0000233,platelet
657,HGF,CL_0000034,stem cell
658,IL17A,CL_0000746,cardiac muscle cell
659,CCL4,CL_0000037,hematopoietic stem cell
660,FGF2,CL_0000338,neuroblast (sensu Nematoda and Protostomia)
661,TGFB,CL_0000233,platelet
662,CCL3,CL_0000084,T cell
663,IL12B,CL_0000084,T cell
664,IL21,CL_0000786,plasma cell
665,IL9,CL_0000097,mast cell
666,GDF15,CL_0000187,muscle cell
667,TGFB3,CL_0000138,chondrocyte
668,IFNA,CL_0000499,stromal cell
669,IL4,CL_0000863,inflammatory macrophage
670,CXCL12,CL_0000893,thymocyte
671,CCL3,CL_0000775,neutrophil
672,CSF3,CL_0000092,osteoclast
673,TGFB,CL_0000815,regulatory T cell
674,IL1A,CL_0000138,chondrocyte
675,IFNG,CL_0002139,endothelial cell of vascular tree
676,IFNB1,CL_0000738,leukocyte
677,IL2,CL_0000912,helper T cell
678,TNFSF9,CL_0000623,natural killer cell
679,CCL17,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
680,CCL26,CL_0000540,neuron
681,FGF2,CL_0000132,corneal endothelial cell
682,CCL22,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
683,IL6,CL_0000546,T-helper 2 cell
684,IL11,CL_0000556,megakaryocyte
685,TGFB,CL_0000077,mesothelial cell
686,EGF,CL_0000138,chondrocyte
687,IL23,CL_0000084,T cell
688,TGFB,CL_0000746,cardiac muscle cell
689,FGF1,CL_0000127,astrocyte
690,TGFB,CL_0000540,neuron
691,IFN1,CL_0000236,B cell
692,CCL5,CL_0000738,leukocyte
693,IL4,CL_0000893,thymocyte
694,TGFB1,CL_1001607,articular chondrocyte
695,CSF2,CL_0000081,blood cell
696,IL15,CL_0000824,mature natural killer cell
697,TGFB1,CL_0000322,pneumocyte
698,IL13,CL_0000066,epithelial cell
699,CX3CL1,CL_0000576,monocyte
700,CXCL12,CL_0000338,neuroblast (sensu Nematoda and Protostomia)
701,IFN1,CL_0000451,dendritic cell
702,IL6,CL_0000312,keratinocyte
703,PDGF,CL_0000359,vascular associated smooth muscle cell
704,IL12,CL_0000912,helper T cell
705,CXCL12,CL_0000576,monocyte
706,IL6,CL_0000451,dendritic cell
707,EGF,CL_0000362,epidermal cell
708,CCL2,CL_0000129,microglial cell
709,TGFB,CL_0000236,B cell
710,TGFB,CL_0000893,thymocyte
711,CCL4,CL_0000084,T cell
712,HGF,CL_0002139,endothelial cell of vascular tree
713,KITLG,CL_0000037,hematopoietic stem cell
714,CXCL6,CL_0000775,neutrophil
715,IL1,CL_0002092,bone marrow cell
716,SPP1,CL_0000092,osteoclast
717,CCL2,CL_0000542,lymphocyte
718,KITLG,CL_0000148,melanocyte
719,GDF15,CL_0000218,myelinating Schwann cell
720,TGFB,CL_0000127,astrocyte
721,IL18,CL_0000625,"CD8-positive, alpha-beta T cell"
722,IL4,CL_0000581,peritoneal macrophage
723,IL7,CL_0000909,"CD8-positive, alpha-beta memory T cell"
724,CSF1,CL_0000034,stem cell
725,IL12,CL_0000546,T-helper 2 cell
726,CSF2,CL_0000322,pneumocyte
727,CSF2,CL_0000545,T-helper 1 cell
728,CCL20,CL_0000899,T-helper 17 cell
729,IFNG,CL_0000091,Kupffer cell
730,CXCL8,CL_0000097,mast cell
731,IL4,CL_0002328,bronchial epithelial cell
732,TNF,CL_0002328,bronchial epithelial cell
733,IL1,CL_0000771,eosinophil
734,FGF2,CL_0000746,cardiac muscle cell
735,IL34,CL_0000235,macrophage
736,IFNG,CL_0002563,intestinal epithelial cell
737,IFNG,CL_0000097,mast cell
738,TGFB,CL_0000546,T-helper 2 cell
739,CSF3,CL_0000235,macrophage
740,TNF,CL_0000453,Langerhans cell
741,IL11,CL_0000092,osteoclast
742,FGF2,CL_0000127,astrocyte
743,IL3,CL_0000049,common myeloid progenitor
744,IL13,CL_0000625,"CD8-positive, alpha-beta T cell"
745,IL3,CL_0000542,lymphocyte
746,KITLG,CL_0000034,stem cell
747,CX3CL1,CL_0000542,lymphocyte
748,IL1B,CL_0000128,oligodendrocyte
749,IFNB1,CL_0000127,astrocyte
750,TGFB1,CL_0002363,keratocyte
751,TGFB2,CL_0000057,fibroblast
752,XCL1,CL_0000084,T cell
753,IFNA,CL_0000451,dendritic cell
754,IL10,CL_0000129,microglial cell
755,TGFB1,CL_0000669,pericyte cell
756,IL2,CL_0000233,platelet
757,EPO,CL_0000056,myoblast
758,IL13,CL_0000624,"CD4-positive, alpha-beta T cell"
759,IL1B,CL_0000182,hepatocyte
760,IL12,CL_0000910,cytotoxic T cell
761,IL33,CL_0000160,goblet cell
762,CXCL8,CL_0000092,osteoclast
763,IFNA,CL_0000556,megakaryocyte
764,CCL2,CL_0000625,"CD8-positive, alpha-beta T cell"
765,EGF,CL_0000192,smooth muscle cell
766,IL1,CL_0000094,granulocyte
767,FGF2,CL_0000235,macrophage
768,CCL2,CL_0000860,classical monocyte
769,CXCL12,CL_0000138,chondrocyte
770,IL21,CL_0000545,T-helper 1 cell
771,IL4,CL_0000038,erythroid progenitor cell
772,IL7,CL_0000138,chondrocyte
773,IL1A,CL_0000499,stromal cell
774,TNF,CL_0000160,goblet cell
775,IL5,CL_0000819,B-1 B cell
776,IL7,CL_0000057,fibroblast
777,IL13,CL_0002363,keratocyte
778,IL6,CL_0000650,mesangial cell
779,RETN,CL_0002334,preadipocyte
780,IFNL3,CL_0000623,natural killer cell
781,IL10,CL_0002619,adult endothelial progenitor cell
782,LIF,CL_0000047,neuronal stem cell
783,TGFB1,CL_0000775,neutrophil
784,CCL11,CL_0000576,monocyte
785,IL1B,CL_0000037,hematopoietic stem cell
786,IFNA,CL_0000813,memory T cell
787,CXCL8,CL_0000136,fat cell
788,PF4,CL_0000556,megakaryocyte
789,TGFB2,CL_0000540,neuron
790,CXCL10,CL_0000625,"CD8-positive, alpha-beta T cell"
791,IL4,CL_0000066,epithelial cell
792,TNF,CL_0000740,retinal ganglion cell
793,IFNG,CL_0000160,goblet cell
794,CCL8,CL_0000738,leukocyte
795,IL4,CL_0000499,stromal cell
796,IL17A,CL_0002563,intestinal epithelial cell
797,IL33,CL_0000542,lymphocyte
798,IL1B,CL_0000137,osteocyte
799,SPP1,CL_0000545,T-helper 1 cell
800,IL1B,CL_0002548,cardiac fibroblast
801,IL6,CL_0000625,"CD8-positive, alpha-beta T cell"
802,TGFB,CL_0002224,lens epithelial cell
803,TNF,CL_0000056,myoblast
804,IL13,CL_0000542,lymphocyte
805,TGFB,CL_0002544,aortic endothelial cell
806,TGFA,CL_0000127,astrocyte
807,IL7,CL_0002489,double negative thymocyte
808,CSF2,CL_0000092,osteoclast
809,IL6,CL_0000499,stromal cell
810,IL15,CL_0000909,"CD8-positive, alpha-beta memory T cell"
811,TGFB,CL_0002064,pancreatic acinar cell
812,IL12,CL_0000129,microglial cell
813,EPO,CL_0000653,glomerular visceral epithelial cell
814,IL13,CL_0000084,T cell
815,IL4,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
816,IL3,CL_0000553,megakaryocyte progenitor cell
817,CSF2,CL_0002619,adult endothelial progenitor cell
818,XCL1,CL_0000624,"CD4-positive, alpha-beta T cell"
819,IFNG,CL_0000893,thymocyte
820,IL2,CL_0000023,oocyte
821,CSF3,CL_1001319,bladder cell
822,IFNG,CL_0002328,bronchial epithelial cell
823,CCL7,CL_0000775,neutrophil
824,IL11,CL_0000038,erythroid progenitor cell
825,IL33,CL_0000125,glial cell
826,IL1,CL_0000182,hepatocyte
827,IL1A,CL_0002139,endothelial cell of vascular tree
828,PF4,CL_0000145,professional antigen presenting cell
829,TGFB1,CL_0000082,epithelial cell of lung
830,TGFB1,CL_0002620,skin fibroblast
831,IL15,CL_0000798,gamma-delta T cell
832,RETN,CL_0000037,hematopoietic stem cell
833,IFN1,CL_0000542,lymphocyte
834,CX3CL1,CL_0000650,mesangial cell
835,CSF2,CL_0000767,basophil
836,IL1B,CL_0000653,glomerular visceral epithelial cell
837,EPO,CL_0000775,neutrophil
838,THPO,CL_0000050,megakaryocyte-erythroid progenitor cell
839,IL11,CL_0000499,stromal cell
840,CXCL8,CL_0002138,endothelial cell of lymphatic vessel
841,FGF2,CL_1001607,articular chondrocyte
842,CXCL12,CL_0000135,fibrocyte
843,TNF,CL_0000061,cementoblast
844,IL17A,CL_0000576,monocyte
845,IL4,CL_0000898,naive T cell
846,IL2,CL_0000115,endothelial cell
847,IL15,CL_0000097,mast cell
848,CCL4,CL_0000122,stellate cell
849,EGF,CL_0002327,mammary epithelial cell
850,EPO,CL_0000746,cardiac muscle cell
851,IL2,CL_0000788,naive B cell
852,EGF,CL_0000047,neuronal stem cell
853,IFNB1,CL_0000115,endothelial cell
854,CXCL12,CL_0000125,glial cell
855,CSF3,CL_0000182,hepatocyte
856,CXCL8,CL_0000138,chondrocyte
857,TGFB,CL_0002322,embryonic stem cell
858,IFN1,CL_0000624,"CD4-positive, alpha-beta T cell"
859,IL1,CL_0000066,epithelial cell
860,IFNG,CL_0002368,respiratory epithelial cell
861,FGF2,CL_0000622,acinar cell
862,IL23,CL_0000775,neutrophil
863,IL17A,CL_0000084,T cell
864,IFN1,CL_0000540,neuron
865,IFNG,CL_0000813,memory T cell
866,CXCL12,CL_0000775,neutrophil
867,CSF2,CL_0000910,cytotoxic T cell
868,CSF3,CL_0002092,bone marrow cell
869,CCL4,CL_0000632,hepatic stellate cell
870,IL4,CL_0000136,fat cell
871,IL17,CL_0000545,T-helper 1 cell
872,OSM,CL_0000182,hepatocyte
873,TGFB1,CL_1000490,mesothelial cell of peritoneum
874,PDGF,CL_0002619,adult endothelial progenitor cell
875,IFNA,CL_0000898,naive T cell
876,IL1,CL_0000581,peritoneal macrophage
877,IL4,CL_0000815,regulatory T cell
878,TNF,CL_0000514,smooth muscle myoblast
879,IL17A,CL_0000057,fibroblast
880,IL32,CL_0000771,eosinophil
881,IL22,CL_0000037,hematopoietic stem cell
882,IL1A,CL_0000359,vascular associated smooth muscle cell
883,IL27,CL_0000236,B cell
884,TNFSF15,CL_0000624,"CD4-positive, alpha-beta T cell"
885,IFNA,CL_0000557,granulocyte monocyte progenitor cell
886,CXCL12,CL_0000817,precursor B cell
887,IFN1,CL_0000782,myeloid dendritic cell
888,IL18,CL_0000746,cardiac muscle cell
889,IFNB1,CL_0000451,dendritic cell
890,IL1B,CL_1001608,foreskin fibroblast
891,TGFB,CL_0000359,vascular associated smooth muscle cell
892,IFNG,CL_0000499,stromal cell
893,IL18,CL_0000814,mature NK T cell
894,CCL5,CL_0000129,microglial cell
895,IL15,CL_0000898,naive T cell
896,CXCL1,CL_0000092,osteoclast
897,TGFB1,CL_0000815,regulatory T cell
898,CCL3,CL_0000576,monocyte
899,IL6,CL_0002038,T follicular helper cell
900,IL27,CL_0000623,natural killer cell
901,CSF2,CL_0000115,endothelial cell
902,TGFB,CL_0000082,epithelial cell of lung
903,IFNA,CL_0000094,granulocyte
904,CSF2,CL_0000214,synovial cell
905,IL13,CL_0000653,glomerular visceral epithelial cell
906,IL3,CL_0000050,megakaryocyte-erythroid progenitor cell
907,CXCL12,CL_0000099,interneuron
908,TGFB1,CL_0000136,fat cell
909,IL12,CL_0000034,stem cell
910,IL12,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
911,IL17,CL_0000576,monocyte
912,IL13,CL_0000890,alternatively activated macrophage
913,CCL3,CL_0000771,eosinophil
914,KITLG,CL_0000038,erythroid progenitor cell
915,IL18,CL_0000062,osteoblast
916,TNF,CL_0000082,epithelial cell of lung
917,IL1A,CL_0000066,epithelial cell
918,IL33,CL_0000763,myeloid cell
919,IL16,CL_0000084,T cell
920,IL4,CL_0000912,helper T cell
921,KITLG,CL_0000541,melanoblast
922,PPBP,CL_0000775,neutrophil
923,TGFB1,CL_0000192,smooth muscle cell
924,IL1RN,CL_0000738,leukocyte
925,TGFB2,CL_0000092,osteoclast
926,IL18,CL_1001607,articular chondrocyte
927,IFNA,CL_0000624,"CD4-positive, alpha-beta T cell"
928,IFNG,CL_0000911,effector T cell
929,TGFB,CL_1000742,glomerular mesangial cell
930,TGFA,CL_0000540,neuron
931,CCL5,CL_0000625,"CD8-positive, alpha-beta T cell"
932,IL33,CL_0000129,microglial cell
933,IL1B,CL_0000546,T-helper 2 cell
934,TNF,CL_0000051,common lymphoid progenitor
935,IL10,CL_0000057,fibroblast
936,TNF,CL_0000557,granulocyte monocyte progenitor cell
937,CXCL10,CL_0000775,neutrophil
938,FGF1,CL_0000057,fibroblast
939,IL33,CL_0000767,basophil
940,IFNG,CL_0000169,type B pancreatic cell
941,TNF,CL_0002319,neural cell
942,IFNA,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
943,TGFB1,CL_0002138,endothelial cell of lymphatic vessel
944,IL4,CL_0000312,keratinocyte
945,FGF2,CL_0000738,leukocyte
946,CXCL12,CL_0000235,macrophage
947,IFNA,CL_0000910,cytotoxic T cell
948,TNF,CL_0000374,trichogen cell
949,CCL3,CL_0000034,stem cell
950,CD40LG,CL_0000969,regulatory B cell
951,IL12,CL_0000899,T-helper 17 cell
952,IL15,CL_0000771,eosinophil
953,IL17A,CL_0000545,T-helper 1 cell
954,IL1B,CL_0000624,"CD4-positive, alpha-beta T cell"
955,TNFSF4,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
956,IL18,CL_0000312,keratinocyte
957,TGFB,CL_0002320,connective tissue cell
958,IL10,CL_0000581,peritoneal macrophage
959,IL6,CL_0000545,T-helper 1 cell
960,IL4,CL_0000816,immature B cell
961,IL1,CL_0000546,T-helper 2 cell
962,SPP1,CL_0000062,osteoblast
963,IL17A,CL_0000738,leukocyte
964,IL3,CL_0000817,precursor B cell
965,IL1B,CL_0000746,cardiac muscle cell
966,CXCL12,CL_0000556,megakaryocyte
967,IL21,CL_0002038,T follicular helper cell
968,CSF3,CL_0000100,motor neuron
969,CCL2,CL_0000198,pain receptor cell
970,LTA,CL_0000625,"CD8-positive, alpha-beta T cell"
971,IL1B,CL_0002334,preadipocyte
972,GDF15,CL_0000115,endothelial cell
973,IL3,CL_0000233,platelet
974,IL17A,CL_0000771,eosinophil
975,CCL2,CL_0000135,fibrocyte
976,CCL18,CL_0000084,T cell
977,IL33,CL_0000746,cardiac muscle cell
978,IL2,CL_0000312,keratinocyte
979,CCL20,CL_0000542,lymphocyte
980,IL2,CL_0000898,naive T cell
981,FGF2,CL_0000066,epithelial cell
982,IL17,CL_0000134,mesenchymal cell
983,TGFB1,CL_0000501,granulosa cell
984,IL1B,CL_0000134,mesenchymal cell
985,CD40LG,CL_0000576,monocyte
986,TGFB1,CL_0000100,motor neuron
987,IL6,CL_0001035,bone cell
988,FGF2,CL_0000233,platelet
989,IFNG,CL_0000094,granulocyte
990,PF4,CL_0000057,fibroblast
991,PF4,CL_0000775,neutrophil
992,CSF1,CL_0000091,Kupffer cell
993,IL1,CL_0000540,neuron
994,IL1A,CL_0000034,stem cell
995,IL2,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
996,CCL4,CL_0000542,lymphocyte
997,IL17,CL_0002328,bronchial epithelial cell
998,IL3,CL_0000115,endothelial cell
999,IL7,CL_0000623,natural killer cell
1000,IL9,CL_0000084,T cell
1001,CSF3,CL_0000700,dopaminergic neuron
1002,CCL2,CL_0000066,epithelial cell
1003,IL2,CL_0002404,fetal thymocyte
1004,TGFB,CL_1001319,bladder cell
1005,CCL2,CL_0000623,natural killer cell
1006,PF4,CL_0000738,leukocyte
1007,CSF3,CL_0000771,eosinophil
1008,CCL2,CL_0000653,glomerular visceral epithelial cell
1009,PPBP,CL_0000056,myoblast
1010,TGFA,CL_0000138,chondrocyte
1011,IFNG,CL_0002363,keratocyte
1012,IL6,CL_0000980,plasmablast
1013,CXCL8,CL_0000034,stem cell
1014,IFNB1,CL_0000125,glial cell
1015,IL1B,CL_0000623,natural killer cell
1016,IL7,CL_0000034,stem cell
1017,FGF2,CL_0000129,microglial cell
1018,TGF,CL_0000542,lymphocyte
1019,IL33,CL_0000451,dendritic cell
1020,IL17A,CL_0000233,platelet
1021,TNF,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1022,LIF,CL_0000127,astrocyte
1023,PPBP,CL_0002320,connective tissue cell
1024,IL10,CL_0000115,endothelial cell
1025,IL15,CL_0002563,intestinal epithelial cell
1026,IL33,CL_0000738,leukocyte
1027,LIF,CL_0000034,stem cell
1028,CXCL10,CL_0000542,lymphocyte
1029,IL6,CL_0000128,oligodendrocyte
1030,LECT1,CL_0000115,endothelial cell
1031,FGF2,CL_0000187,muscle cell
1032,EPO,CL_0002092,bone marrow cell
1033,TGFB3,CL_0000057,fibroblast
1034,TNF,CL_0002619,adult endothelial progenitor cell
1035,TGFB1,CL_0000233,platelet
1036,TNF,CL_0000188,skeletal muscle cell
1037,IL1,CL_0000583,alveolar macrophage
1038,CCL15,CL_0000738,leukocyte
1039,PF4,CL_0000097,mast cell
1040,IFNG,CL_0000187,muscle cell
1041,TGFB,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
1042,CCL3,CL_0000134,mesenchymal cell
1043,PDGF,CL_0002539,aortic smooth muscle cell
1044,TGFB1,CL_1000300,fibroblast of outer membrane of prostatic capsule
1045,IL10,CL_0000890,alternatively activated macrophage
1046,CXCL10,CL_0000624,"CD4-positive, alpha-beta T cell"
1047,IL10,CL_0000097,mast cell
1048,CCL2,CL_0000499,stromal cell
1049,FGF2,CL_0002543,vein endothelial cell
1050,FGF2,CL_0000136,fat cell
1051,PDGFB,CL_0000057,fibroblast
1052,TGFB1,CL_0000351,trophoblast cell
1053,MIF,CL_0000775,neutrophil
1054,IL1RN,CL_0000899,T-helper 17 cell
1055,CSF2,CL_0000097,mast cell
1056,IL11,CL_0000236,B cell
1057,IL4,CL_0000160,goblet cell
1058,PDGF,CL_0000235,macrophage
1059,IL17,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1060,PDGFB,CL_0000499,stromal cell
1061,IL1B,CL_0000097,mast cell
1062,IL1B,CL_0000556,megakaryocyte
1063,PDGF,CL_0000540,neuron
1064,IL17,CL_0000451,dendritic cell
1065,CCL2,CL_0002231,epithelial cell of prostate
1066,CXCL8,CL_0000057,fibroblast
1067,TGFB2,CL_0000312,keratinocyte
1068,IL27,CL_0000182,hepatocyte
1069,IL4,CL_0002092,bone marrow cell
1070,IL17A,CL_0000623,natural killer cell
1071,IL10,CL_0000540,neuron
1072,IL27,CL_0000624,"CD4-positive, alpha-beta T cell"
1073,TGFB1,CL_0002097,cortical cell of adrenal gland
1074,IL9,CL_0000738,leukocyte
1075,CCL2,CL_0000136,fat cell
1076,CCL2,CL_0000863,inflammatory macrophage
1077,FGF2,CL_0002418,hemangioblast
1078,HGF,CL_0000169,type B pancreatic cell
1079,CCL3,CL_0000624,"CD4-positive, alpha-beta T cell"
1080,TGFB,CL_0000775,neutrophil
1081,CXCL10,CL_0000182,hepatocyte
1082,CSF2,CL_0000145,professional antigen presenting cell
1083,IL6,CL_0000034,stem cell
1084,IL2,CL_0002608,hippocampal neuron
1085,IL36G,CL_0000312,keratinocyte
1086,IL12,CL_0000824,mature natural killer cell
1087,CXCL8,CL_0000763,myeloid cell
1088,IL6,CL_0000819,B-1 B cell
1089,IL23,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1090,IFNG,CL_0000128,oligodendrocyte
1091,IL4,CL_0000115,endothelial cell
1092,TGFB,CL_0000322,pneumocyte
1093,IFNB1,CL_0000863,inflammatory macrophage
1094,IL12,CL_0000771,eosinophil
1095,EPO,CL_0000034,stem cell
1096,IL1,CL_0000623,natural killer cell
1097,RETN,CL_0000233,platelet
1098,IFNG,CL_0000138,chondrocyte
1099,CSF1,CL_0000094,granulocyte
1100,IL15,CL_0000813,memory T cell
1101,CSF2,CL_0000623,natural killer cell
1102,FGF2,CL_0002144,capillary endothelial cell
1103,CXCL12,CL_0000312,keratinocyte
1104,IL15,CL_0000066,epithelial cell
1105,IL6,CL_0000136,fat cell
1106,IL5,CL_0000767,basophil
1107,TNF,CL_0000700,dopaminergic neuron
1108,CSF2,CL_0000556,megakaryocyte
1109,FGF2,CL_0000182,hepatocyte
1110,CXCL8,CL_0000082,epithelial cell of lung
1111,IL7,CL_0000545,T-helper 1 cell
1112,CSF3,CL_0000096,mature neutrophil
1113,IL34,CL_0000576,monocyte
1114,IL10,CL_0000763,myeloid cell
1115,IL6,CL_0002548,cardiac fibroblast
1116,LIF,CL_0000128,oligodendrocyte
1117,IL3,CL_0000236,B cell
1118,IL1B,CL_0002322,embryonic stem cell
1119,IFNG,CL_0000034,stem cell
1120,CX3CL1,CL_0000624,"CD4-positive, alpha-beta T cell"
1121,IL2,CL_0000902,induced T-regulatory cell
1122,IL1B,CL_0000763,myeloid cell
1123,TGFB,CL_0000128,oligodendrocyte
1124,TGFB,CL_0000351,trophoblast cell
1125,IL4,CL_0000844,germinal center B cell
1126,IL2,CL_0000557,granulocyte monocyte progenitor cell
1127,IL1A,CL_0000738,leukocyte
1128,CCL19,CL_0000084,T cell
1129,TGFB,CL_0000148,melanocyte
1130,IL15,CL_0000913,"effector memory CD8-positive, alpha-beta T cell"
1131,GDF15,CL_0000066,epithelial cell
1132,TNF,CL_0000501,granulosa cell
1133,CCL5,CL_0000576,monocyte
1134,IL3,CL_0000081,blood cell
1135,CD40LG,CL_0000545,T-helper 1 cell
1136,IL18,CL_0000910,cytotoxic T cell
1137,CXCL12,CL_0002319,neural cell
1138,CCL17,CL_0000624,"CD4-positive, alpha-beta T cell"
1139,IL4,CL_0000557,granulocyte monocyte progenitor cell
1140,IL2,CL_0000899,T-helper 17 cell
1141,CXCL12,CL_0000134,mesenchymal cell
1142,IL1,CL_1001607,articular chondrocyte
1143,CCL5,CL_0000542,lymphocyte
1144,PF4,CL_0000235,macrophage
1145,TNFSF4,CL_0000236,B cell
1146,CD40LG,CL_0000540,neuron
1147,CXCL9,CL_0000322,pneumocyte
1148,IFNB1,CL_0002368,respiratory epithelial cell
1149,IL21,CL_0000097,mast cell
1150,KITLG,CL_0000134,mesenchymal cell
1151,CXCL10,CL_0000545,T-helper 1 cell
1152,IL6,CL_0000048,multi fate stem cell
1153,CCL4,CL_0002092,bone marrow cell
1154,SPP1,CL_0000624,"CD4-positive, alpha-beta T cell"
1155,IL22,CL_0000775,neutrophil
1156,TNFSF15,CL_0002139,endothelial cell of vascular tree
1157,IL12,CL_0002128,Tc17 cell
1158,IL3,CL_0000129,microglial cell
1159,SPP1,CL_0000576,monocyte
1160,IL1B,CL_0000767,basophil
1161,CXCL9,CL_0000236,B cell
1162,TGFB1,CL_0000912,helper T cell
1163,CSF1,CL_0000023,oocyte
1164,TNFSF8,CL_0000097,mast cell
1165,PDGF,CL_0000187,muscle cell
1166,CD40LG,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1167,CCL20,CL_0000066,epithelial cell
1168,TNFSF14,CL_0000084,T cell
1169,IL22,CL_0000899,T-helper 17 cell
1170,CX3CL1,CL_0000451,dendritic cell
1171,CCL5,CL_0000233,platelet
1172,IL23,CL_0000771,eosinophil
1173,IL5,CL_0000034,stem cell
1174,PDGF,CL_0000135,fibrocyte
1175,IL12B,CL_0000236,B cell
1176,IL10,CL_0000037,hematopoietic stem cell
1177,IL3,CL_0000624,"CD4-positive, alpha-beta T cell"
1178,RETN,CL_0000235,macrophage
1179,IL1A,CL_0000576,monocyte
1180,CSF1,CL_0000763,myeloid cell
1181,IL4,CL_0000895,"naive thymus-derived CD4-positive, alpha-beta T cell"
1182,CSF2,CL_0000540,neuron
1183,CCL5,CL_0000236,B cell
1184,CCL26,CL_0000623,natural killer cell
1185,IFN1,CL_0000711,cumulus cell
1186,IL12,CL_0000911,effector T cell
1187,IL10,CL_0000066,epithelial cell
1188,SPP1,CL_0000134,mesenchymal cell
1189,IL1A,CL_0000622,acinar cell
1190,IFNG,CL_0000647,multinucleated giant cell
1191,IL27,CL_0000451,dendritic cell
1192,PF4,CL_0000084,T cell
1193,CCL2,CL_0000632,hepatic stellate cell
1194,TGFB1,CL_0000388,tendon cell
1195,CCL2,CL_0000784,plasmacytoid dendritic cell
1196,IL32,CL_0000136,fat cell
1197,TNFSF15,CL_0000625,"CD8-positive, alpha-beta T cell"
1198,CCL20,CL_0000235,macrophage
1199,GDF15,CL_0002627,mature astrocyte
1200,HGF,CL_0000148,melanocyte
1201,TGFB,CL_1000490,mesothelial cell of peritoneum
1202,LECT1,CL_0000236,B cell
1203,TGFB,CL_0002092,bone marrow cell
1204,CCL6,CL_0000624,"CD4-positive, alpha-beta T cell"
1205,IFNG,CL_0000700,dopaminergic neuron
1206,CCL15,CL_0000771,eosinophil
1207,IL7,CL_0000514,smooth muscle myoblast
1208,IL23,CL_0000499,stromal cell
1209,CXCL2,CL_0000182,hepatocyte
1210,IL10,CL_0000113,mononuclear phagocyte
1211,IL11,CL_0002563,intestinal epithelial cell
1212,CSF3,CL_0000839,myeloid lineage restricted progenitor cell
1213,FGF2,CL_0000223,endodermal cell
1214,IL1,CL_0000097,mast cell
1215,CCL25,CL_0000084,T cell
1216,TNF,CL_0000546,T-helper 2 cell
1217,CX3CL1,CL_0000235,macrophage
1218,IL10,CL_0000813,memory T cell
1219,CD40LG,CL_0000820,B-1a B cell
1220,IL6,CL_0000676,cap cell
1221,IFNA,CL_0000546,T-helper 2 cell
1222,IL11,CL_0000128,oligodendrocyte
1223,IL1B,CL_0000911,effector T cell
1224,FGF2,CL_0002224,lens epithelial cell
1225,RETN,CL_0000738,leukocyte
1226,IL1RN,CL_0000235,macrophage
1227,EGF,CL_0002092,bone marrow cell
1228,IL1B,CL_0002129,regular atrial cardiac myocyte
1229,KITLG,CL_0000586,germ cell
1230,SPP1,CL_0000084,T cell
1231,HGF,CL_0000632,hepatic stellate cell
1232,IL4,CL_0000767,basophil
1233,IL27,CL_0000546,T-helper 2 cell
1234,IL17A,CL_0000169,type B pancreatic cell
1235,IFNA,CL_0002034,long term hematopoietic stem cell
1236,IL27,CL_1000491,mesothelial cell of pleura
1237,RETN,CL_0002619,adult endothelial progenitor cell
1238,OSM,CL_0000127,astrocyte
1239,CSF2,CL_0002476,bone marrow macrophage
1240,TGFB1,CL_0000700,dopaminergic neuron
1241,CXCL12,CL_0000066,epithelial cell
1242,FGF2,CL_0000501,granulosa cell
1243,IL1RN,CL_0000540,neuron
1244,CCL16,CL_0002139,endothelial cell of vascular tree
1245,IL10,CL_0000145,professional antigen presenting cell
1246,PF4,CL_0000034,stem cell
1247,CCL3,CL_0000127,astrocyte
1248,TNFSF13B,CL_0000843,follicular B cell
1249,IFNG,CL_0000816,immature B cell
1250,IL1B,CL_0000359,vascular associated smooth muscle cell
1251,CCL4L2,CL_0000084,T cell
1252,IFNA,CL_0000902,induced T-regulatory cell
1253,PDGFB,CL_0000359,vascular associated smooth muscle cell
1254,CXCL16,CL_0000542,lymphocyte
1255,CXCL2,CL_0000540,neuron
1256,IL17A,CL_0000182,hepatocyte
1257,IFNA,CL_0000771,eosinophil
1258,IL17A,CL_0000066,epithelial cell
