,cytokine,cell,Cell ontology Label
154,TGFB,CL_0000092,osteoclast
155,IL18,CL_0000623,natural killer cell
156,IL13,CL_0000160,goblet cell
157,TGFB1,CL_0000084,T cell
158,TGFB,CL_0000138,chondrocyte
159,PPBP,CL_0000233,platelet
160,IL1B,CL_0000540,neuron
161,CSF2,CL_0000094,granulocyte
162,TNF,CL_0000542,lymphocyte
163,IL12,CL_0000624,"CD4-positive, alpha-beta T cell"
164,IL1,CL_0000775,neutrophil
165,IL4,CL_0000542,lymphocyte
166,IL10,CL_0000545,T-helper 1 cell
167,TGFB,CL_0000625,"CD8-positive, alpha-beta T cell"
168,IFNG,CL_0000057,fibroblast
169,IL1,CL_0000576,monocyte
170,IFNB1,CL_0000235,macrophage
171,IFNG,CL_0000738,leukocyte
172,IL7,CL_0000542,lymphocyte
173,EPO,CL_0000233,platelet
174,TNF,CL_0000312,keratinocyte
175,CXCL12,CL_0000084,T cell
176,IL4,CL_0000771,eosinophil
177,IL10,CL_0000625,"CD8-positive, alpha-beta T cell"
178,IL1B,CL_0000127,astrocyte
179,IL1,CL_0000235,macrophage
180,FGF2,CL_0000134,mesenchymal cell
181,TNF,CL_0000623,natural killer cell
182,TNF,CL_0000129,microglial cell
183,TNF,CL_0000062,osteoblast
184,IL4,CL_0000097,mast cell
185,IL1B,CL_0000169,type B pancreatic cell
186,IFNB1,CL_0000084,T cell
187,CCL2,CL_0000738,leukocyte
188,TGFB,CL_0000066,epithelial cell
189,IFNA,CL_0000236,B cell
190,IL33,CL_0000546,T-helper 2 cell
191,IL6,CL_0000738,leukocyte
192,EGF,CL_0000057,fibroblast
193,CSF3,CL_0000084,T cell
194,TGFB,CL_0000576,monocyte
195,IL4,CL_0000625,"CD8-positive, alpha-beta T cell"
196,CXCL8,CL_0000115,endothelial cell
197,TNFSF9,CL_0000625,"CD8-positive, alpha-beta T cell"
198,FGF2,CL_0000056,myoblast
199,IL6,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
200,TNF,CL_0000127,astrocyte
201,IFNA,CL_0000235,macrophage
202,IL6,CL_0000115,endothelial cell
203,IL6,CL_0000540,neuron
204,CXCL13,CL_0000236,B cell
205,IL7,CL_0000625,"CD8-positive, alpha-beta T cell"
206,HGF,CL_0000115,endothelial cell
207,IL33,CL_0000097,mast cell
208,IL1,CL_0000542,lymphocyte
209,IL7,CL_0000624,"CD4-positive, alpha-beta T cell"
210,IL10,CL_0000546,T-helper 2 cell
211,IL6,CL_0000786,plasma cell
212,TGFB,CL_0000312,keratinocyte
213,FGF2,CL_0000148,melanocyte
214,IL21,CL_0000623,natural killer cell
215,CCL2,CL_0000084,T cell
216,TNF,CL_0002139,endothelial cell of vascular tree
217,IL2,CL_0000738,leukocyte
218,IL3,CL_0000034,stem cell
219,IL1,CL_0000092,osteoclast
220,CD40LG,CL_0000233,platelet
221,CSF2,CL_0000233,platelet
222,IL1A,CL_0000057,fibroblast
223,IL18,CL_0000775,neutrophil
224,IL21,CL_0000084,T cell
225,PDGF,CL_0000233,platelet
226,CXCL12,CL_0000115,endothelial cell
227,IFN1,CL_0000235,macrophage
228,IL6,CL_0000556,megakaryocyte
229,CSF2,CL_0000557,granulocyte monocyte progenitor cell
230,CSF2,CL_0000583,alveolar macrophage
231,IFNG,CL_0000540,neuron
232,IL6,CL_0000542,lymphocyte
233,CXCL8,CL_0000771,eosinophil
234,TGFB,CL_0000134,mesenchymal cell
235,IFNG,CL_0000127,astrocyte
