,M-aupr,M-auc,m-aupr,m-auc,precision,recall,F1-score
VAE,0.10209538149899462,0.45447605266654856,0.2714700251846495,0.7842553101149901,0.4434561626429479,0.1266787658802178,0.19706380575945795
GAE,0.2266130926371004,0.7360712125928628,0.485550346337035,0.8782863605033057,0.7488514548238897,0.17749546279491832,0.28697183098591544
VGAE,0.22098408718393986,0.7185390175614763,0.4743097761601567,0.8787170996621878,0.6716417910447762,0.24500907441016334,0.35904255319148937
