,oocyte,stem cell,erythroid progenitor cell,neuronal stem cell,common myeloid progenitor,myoblast,fibroblast,cementoblast,osteoblast,ependymal cell,epithelial cell,mesothelial cell,blood cell,epithelial cell of lung,T cell,Kupffer cell,osteoclast,granulocyte,mature neutrophil,mast cell,mononuclear phagocyte,endothelial cell,glial cell,astrocyte,oligodendrocyte,microglial cell,mesenchymal cell,fibrocyte,fat cell,osteocyte,chondrocyte,professional antigen presenting cell,melanocyte,parietal cell,endocrine cell,type B pancreatic cell,hepatocyte,muscle cell,skeletal muscle cell,smooth muscle cell,synovial cell,Sertoli cell,myelinating Schwann cell,erythrocyte,platelet,macrophage,B cell,tracheal epithelial cell,keratinocyte,pneumocyte,trophoblast cell,epidermal cell,polygonal cell,follicular dendritic cell,dendritic cell,Langerhans cell,CD4-positive helper T cell,stromal cell,granulosa cell,skeletal muscle myoblast,neuron,lymphocyte,T-helper 1 cell,T-helper 2 cell,animal cell,megakaryocyte,reticulocyte,monocyte,peritoneal macrophage,alveolar macrophage,enterocyte,germ cell,natural killer cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",hepatic stellate cell,folliculostellate cell,multinucleated giant cell,mesangial cell,glomerular visceral epithelial cell,pericyte cell,cap cell,PP cell,leukocyte,cardiac muscle cell,myeloid cell,erythroblast,basophil,eosinophil,neutrophil,myeloid dendritic cell,plasmacytoid dendritic cell,mature B cell,plasma cell,memory B cell,naive B cell,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","CD4-positive, alpha-beta intraepithelial T cell","CD8-positive, alpha-beta cytotoxic T cell","CD8-positive, alpha-beta regulatory T cell","CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",gamma-delta T cell,memory T cell,mature NK T cell,regulatory T cell,precursor B cell,B-1 B cell,B-1a B cell,B-2 B cell,mature natural killer cell,promyelocyte,classical monocyte,inflammatory macrophage,thymic macrophage,splenic macrophage,alternatively activated macrophage,thymocyte,"naive thymus-derived CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta memory T cell",naive T cell,T-helper 17 cell,Tr1 cell,induced T-regulatory cell,"effector memory CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta memory T cell",cytotoxic T cell,effector T cell,helper T cell,dendritic epidermal T cell,Tc1 cell,"CD8-positive, CD28-negative, alpha-beta regulatory T cell",thymic plasmacytoid dendritic cell,regulatory B cell,plasmablast,CD11c-low plasmacytoid dendritic cell,conventional dendritic cell,T-helper 22 cell,T follicular helper cell,T-helper 9 cell,type II pneumocyte,pancreatic acinar cell,tanycyte,bone marrow cell,endothelial cell of lymphatic vessel,endothelial cell of vascular tree,acinar cell of sebaceous gland,pleural macrophage,epithelial cell of thymus,pigmented ciliary epithelial cell,corticotroph,embryonic cell,embryonic stem cell,bronchial epithelial cell,preadipocyte,keratocyte,respiratory epithelial cell,intermediate monocyte,"CD14-positive, CD16-positive monocyte",CD103-positive dendritic cell,bone marrow macrophage,intraepithelial lymphocyte,cardiac fibroblast,intestinal epithelial cell,retinal pigment epithelial cell,adult endothelial progenitor cell,skin fibroblast,gingival epithelial cell,mature astrocyte,mature microglial cell,magnocellular neurosecretory cell,cholangiocyte,mesothelial cell of peritoneum,mesothelial cell of pleura,bladder cell,articular chondrocyte
fre,3.0,5.0,3.0,1.0,1.0,2.0,26.0,1.0,11.0,1.0,19.0,1.0,2.0,3.0,29.0,6.0,4.0,5.0,3.0,16.0,5.0,7.0,5.0,16.0,1.0,7.0,11.0,1.0,6.0,3.0,9.0,3.0,3.0,1.0,1.0,2.0,12.0,2.0,2.0,4.0,3.0,5.0,1.0,2.0,13.0,40.0,24.0,1.0,24.0,4.0,1.0,3.0,1.0,1.0,9.0,2.0,1.0,17.0,4.0,1.0,19.0,14.0,8.0,10.0,1.0,2.0,1.0,21.0,6.0,10.0,6.0,2.0,10.0,18.0,15.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,18.0,1.0,6.0,1.0,3.0,9.0,15.0,3.0,3.0,1.0,6.0,2.0,1.0,6.0,5.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,1.0,3.0,7.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
roc_auc,0.7283950617283951,0.5544303797468355,0.2674897119341564,0.6024096385542168,0.8313253012048193,0.18902439024390244,0.763262599469496,0.8433734939759037,0.7048567870485679,0.3132530120481928,0.49878542510121454,0.5783132530120482,0.8292682926829269,0.8641975308641975,0.7222570532915361,0.8440170940170941,0.6875,0.8911392405063291,0.49382716049382713,0.7261029411764706,0.810126582278481,0.9517625231910947,0.810126582278481,0.6433823529411764,1.0,0.7996289424860853,0.7820672478206725,0.7469879518072289,0.767094017094017,0.7489711934156378,0.8651851851851852,0.7860082304526749,0.6296296296296297,0.8674698795180723,0.8674698795180723,0.8719512195121952,0.605324074074074,0.951219512195122,0.17682926829268297,0.634375,0.9382716049382716,0.6101265822784809,0.9879518072289156,0.4085365853658537,0.8017334777898159,0.6556818181818181,0.6381944444444444,0.6385542168674698,0.6048611111111112,0.9500000000000001,0.7349397590361446,0.7736625514403292,0.5903614457831325,0.7590361445783133,0.7125925925925926,0.13414634146341464,0.7951807228915663,0.7216856892010536,0.7625,0.28915662650602414,0.6340080971659918,0.753061224489796,0.6858552631578948,0.772972972972973,0.8192771084337349,0.4451219512195122,0.03614457831325302,0.7959183673469388,0.967948717948718,0.7797297297297299,0.5299145299145299,0.8414634146341463,0.654054054054054,0.7213804713804713,0.7333333333333334,0.4698795180722891,0.7951807228915663,0.5783132530120482,0.9772151898734177,0.83125,0.8170731707317074,0.7951807228915663,0.7710843373493976,0.7255892255892256,1.0,0.7457264957264957,0.20481927710843373,0.7448559670781892,0.7348148148148148,0.7777777777777778,0.8683127572016461,0.6172839506172839,0.49397590361445787,0.6047008547008546,0.23170731707317072,0.8313253012048193,0.829059829059829,0.6607594936708862,0.9423868312757202,0.3975903614457831,0.2168674698795181,0.8170731707317073,0.897119341563786,0.9259259259259259,0.5426829268292683,0.45783132530120485,0.5783132530120482,0.6402439024390244,0.9879518072289156,0.6626506024096386,0.7951807228915663,0.9879518072289156,0.9329268292682926,0.4337349397590361,0.834375,0.9189873417721519,0.7215189873417721,0.7831325301204819,0.8313253012048193,0.8971193415637859,0.575139146567718,0.6746987951807228,0.5679012345679013,0.8072289156626506,0.7710843373493976,0.5596707818930041,0.8559670781893004,0.8418803418803419,0.8072289156626506,0.8674698795180723,0.6867469879518072,0.15662650602409633,0.6385542168674698,0.7710843373493976,0.3493975903614458,0.7865853658536586,0.4337349397590361,0.3373493975903614,0.6097560975609756,1.0,0.8072289156626506,0.09638554216867468,0.659375,0.2962962962962963,0.617283950617284,0.7349397590361446,0.6385542168674698,0.33536585365853655,0.3373493975903614,0.1325301204819277,0.07228915662650603,0.8433734939759037,0.7569620253164556,0.7317073170731707,0.6265060240963856,0.7063291139240506,0.8433734939759037,0.9939024390243902,0.6746987951807228,0.7831325301204819,0.8192771084337349,0.8554216867469879,0.6531250000000001,0.4698795180722891,0.7073170731707317,0.8780487804878049,0.8313253012048193,0.7108433734939759,0.9879518072289156,0.8072289156626506,0.29268292682926833,0.7108433734939759,0.5421686746987953,0.7349397590361446,0.11585365853658541
roc_thr,0.0621131956577301,0.11017528176307678,0.048037320375442505,0.06347158551216125,0.0933128297328949,0.05943721532821655,0.2518160045146942,0.0757332444190979,0.1363954246044159,0.03971734642982483,0.29055899381637573,0.05790013074874878,0.08894586563110352,0.11250680685043335,0.40698522329330444,0.1390981376171112,0.11342582106590271,0.19969546794891357,0.0901326835155487,0.2751222848892212,0.189983069896698,0.13786882162094116,0.1434047520160675,0.22039204835891724,0.1425076425075531,0.10587066411972046,0.2386637032032013,0.07514545321464539,0.12100178003311157,0.0701676607131958,0.12251445651054382,0.077800452709198,0.08514821529388428,0.0913994312286377,0.08302125334739685,0.09803581237792969,0.23667499423027039,0.11260786652565002,0.05434420704841614,0.0742800235748291,0.14749446511268616,0.11240950226783752,0.14600452780723572,0.06813555955886841,0.1970236897468567,0.5182689428329468,0.3794211149215698,0.06429815292358398,0.37811318039894104,0.14899930357933044,0.0780441164970398,0.09052181243896484,0.06504231691360474,0.06794407963752747,0.17123469710350037,0.056872278451919556,0.08477956056594849,0.20615079998970032,0.10948395729064941,0.04053953289985657,0.24626967310905457,0.26372823119163513,0.15357205271720886,0.168567955493927,0.08497780561447144,0.09611058235168457,0.04196500778198242,0.2696511745452881,0.15421229600906372,0.1706516444683075,0.09259536862373352,0.0825471580028534,0.14064788818359375,0.2191126048564911,0.20028060674667358,0.05531322956085205,0.06370195746421814,0.06641885638237,0.15939858555793762,0.13572204113006592,0.08914396166801453,0.08475124835968018,0.08294549584388733,0.2247236967086792,0.15811794996261597,0.09567204117774963,0.044147342443466187,0.12328258156776428,0.1463620960712433,0.21439579129219055,0.081336110830307,0.06786459684371948,0.07147538661956787,0.10711383819580078,0.06767654418945312,0.0922681987285614,0.1400717794895172,0.11907222867012024,0.11569535732269287,0.053091347217559814,0.040872007608413696,0.0720452070236206,0.1306312382221222,0.14176785945892334,0.06016260385513306,0.06397789716720581,0.06930506229400635,0.07264235615730286,0.12612849473953247,0.06025388836860657,0.08411383628845215,0.14142414927482605,0.10297513008117676,0.05182048678398132,0.13622137904167175,0.13607856631278992,0.11244028806686401,0.07532048225402832,0.0930188000202179,0.12450408935546875,0.1290702521800995,0.07580819725990295,0.0697283148765564,0.08942881226539612,0.08134722709655762,0.09204351902008057,0.11455798149108887,0.1920892596244812,0.08711937069892883,0.10778486728668213,0.06694743037223816,0.048855483531951904,0.06860148906707764,0.07856795191764832,0.04999727010726929,0.07217821478843689,0.05176427960395813,0.053058356046676636,0.06809937953948975,0.15450501441955566,0.09246706962585449,0.030905097723007202,0.10042694211006165,0.06683754920959473,0.08162495493888855,0.07550036907196045,0.061109960079193115,0.06598585844039917,0.04829198122024536,0.026569902896881104,0.03265106678009033,0.0768679678440094,0.15075254440307617,0.08199149370193481,0.06350675225257874,0.12256398797035217,0.08625566959381104,0.1542057991027832,0.06387439370155334,0.07848212122917175,0.08279183506965637,0.08927303552627563,0.11509838700294495,0.05466967821121216,0.08428797125816345,0.10111048817634583,0.08406251668930054,0.0691838264465332,0.12488842010498047,0.0869322419166565,0.0545555055141449,0.08260685205459595,0.07887163758277893,0.07628217339515686,0.05016523599624634
