,sperm,oocyte,stem cell,hematopoietic stem cell,erythroid progenitor cell,mature eosinophil,neuronal stem cell,common myeloid progenitor,myoblast,fibroblast,odontoblast,cementoblast,osteoblast,epithelial cell,mesothelial cell,epithelial cell of lung,T cell,Kupffer cell,osteoclast,granulocyte,mature neutrophil,mast cell,interneuron,motor neuron,sensory neuron,mononuclear phagocyte,endothelial cell,stellate cell,glial cell,astrocyte,oligodendrocyte,microglial cell,corneal endothelial cell,mesenchymal cell,fibrocyte,fat cell,chondrocyte,professional antigen presenting cell,melanocyte,Clara cell,goblet cell,parietal cell,type B pancreatic cell,Leydig cell,hepatocyte,muscle cell,skeletal muscle cell,smooth muscle cell,photoreceptor cell,lining cell,synovial cell,Sertoli cell,myelinating Schwann cell,erythrocyte,platelet,macrophage,B cell,tracheal epithelial cell,keratinocyte,mucus secreting cell,pneumocyte,trophoblast cell,vascular associated smooth muscle cell,epidermal cell,zygote,tendon cell,follicular dendritic cell,dendritic cell,Langerhans cell,stromal cell,granulosa cell,smooth muscle myoblast,neuron,lymphocyte,T-helper 1 cell,T-helper 2 cell,proerythroblast,basophilic erythroblast,megakaryocyte,granulocyte monocyte progenitor cell,reticulocyte,corneal epithelial cell,monocyte,peritoneal macrophage,alveolar macrophage,enterocyte,germ cell,odontoclast,enucleate erythrocyte,GABAergic neuron,acinar cell,natural killer cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",hepatic stellate cell,basal cell,multinucleated giant cell,mesangial cell,glomerular visceral epithelial cell,pericyte cell,cap cell,M cell,dopaminergic neuron,leukocyte,hypertrophic chondrocyte,cardiac muscle cell,myeloid cell,basophil,eosinophil,neutrophil,myeloid dendritic cell,plasma cell,memory B cell,naive B cell,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","CD4-positive, alpha-beta intraepithelial T cell","CD8-positive, alpha-beta cytotoxic T cell",gamma-delta T cell,memory T cell,mature NK T cell,regulatory T cell,precursor B cell,B-1 B cell,mature natural killer cell,pro-B cell,mast cell progenitor,myeloid lineage restricted progenitor cell,germinal center B cell,marginal zone B cell,classical monocyte,inflammatory macrophage,myeloid suppressor cell,alternatively activated macrophage,thymocyte,naive T cell,T-helper 17 cell,Tr1 cell,induced T-regulatory cell,natural T-regulatory cell,"CD8-positive, alpha-beta memory T cell",cytotoxic T cell,effector T cell,helper T cell,dendritic epidermal T cell,Tc1 cell,regulatory B cell,conventional dendritic cell,T-helper 9 cell,pancreatic acinar cell,interstitial cell of Cajal,bone marrow cell,cortical cell of adrenal gland,Tc17 cell,endothelial cell of lymphatic vessel,neural cell,embryonic stem cell,mammary epithelial cell,preadipocyte,decidual natural killer cell,keratocyte,respiratory epithelial cell,myotube,"CD14-positive, CD16-positive monocyte",mature CD4 single-positive thymocyte,vein endothelial cell,aortic endothelial cell,intestinal epithelial cell,hippocampal neuron,neuron of cerebral cortex,adult endothelial progenitor cell,skin fibroblast,mature astrocyte,mature microglial cell,preosteoblast,retinal cell,cholangiocyte,mesothelial cell of peritoneum,kidney cell,bladder cell,nasopharyngeal epithelial cell,articular chondrocyte,muscle fibroblast
fre,2.0,2.0,8.0,8.0,6.0,1.0,2.0,1.0,6.0,22.0,1.0,2.0,11.0,11.0,1.0,3.0,47.0,4.0,23.0,6.0,6.0,8.0,1.0,3.0,1.0,3.0,25.0,1.0,1.0,11.0,7.0,13.0,1.0,6.0,2.0,12.0,9.0,4.0,5.0,1.0,6.0,1.0,4.0,3.0,18.0,9.0,1.0,9.0,1.0,2.0,3.0,1.0,2.0,6.0,14.0,39.0,25.0,1.0,11.0,1.0,3.0,3.0,7.0,1.0,1.0,1.0,2.0,4.0,4.0,10.0,5.0,2.0,23.0,20.0,19.0,11.0,1.0,1.0,11.0,9.0,1.0,1.0,23.0,8.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,15.0,22.0,24.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,24.0,1.0,9.0,9.0,4.0,24.0,32.0,1.0,2.0,1.0,1.0,17.0,2.0,2.0,1.0,3.0,1.0,6.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,7.0,4.0,13.0,1.0,5.0,1.0,2.0,6.0,5.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
roc_auc,0.9479166666666667,0.9010416666666667,0.7277777777777777,0.7666666666666667,0.4547101449275362,0.3402061855670103,0.453125,0.061855670103092786,0.907608695652174,0.6590909090909091,0.7216494845360825,0.7916666666666667,0.8746081504702194,0.5862068965517242,0.9484536082474226,0.45964912280701753,0.7025448477263246,0.9468085106382979,0.7321739130434782,0.5996376811594203,0.6358695652173914,0.5597222222222221,0.44329896907216493,0.8140350877192982,0.7938144329896908,0.7649122807017544,0.7928767123287672,0.9484536082474226,0.7835051546391752,0.6729362591431556,0.7268445839874411,0.7656108597285068,0.8350515463917526,0.9130434782608696,0.546875,0.7403100775193799,0.8539325842696629,0.6835106382978723,0.9204301075268817,0.9072164948453608,0.8514492753623188,0.9278350515463918,0.6728723404255319,0.7859649122807018,0.6680555555555555,0.6092384519350811,0.5463917525773196,0.9350811485642947,0.3917525773195877,0.7083333333333334,0.743859649122807,0.7525773195876289,0.33333333333333337,0.5978260869565218,0.6198979591836735,0.7770534550195567,0.7873972602739726,0.030927835051546393,0.5945663531870429,0.9587628865979382,0.2807017543859649,0.3684210526315789,0.7268445839874411,0.9175257731958762,0.8865979381443299,0.7525773195876289,0.9479166666666666,0.550531914893617,0.9228723404255319,0.6897727272727273,0.6408602150537634,0.9427083333333334,0.743768115942029,0.8602564102564102,0.7781479013990673,0.7826541274817137,0.3711340206185567,0.5670103092783505,0.6760710553814002,0.8976279650436955,0.845360824742268,0.865979381443299,0.8376811594202898,0.7847222222222221,0.9096774193548387,0.4583333333333333,0.9381443298969072,0.27835051546391754,0.41666666666666663,0.731958762886598,0.8865979381443299,0.8104417670682731,0.8486842105263158,0.7274774774774776,0.953125,0.8041237113402062,0.845360824742268,0.9896907216494846,0.6842105263157895,0.48070175438596496,0.845360824742268,0.19587628865979378,0.8105263157894738,0.8074324324324325,0.4742268041237113,0.6142322097378277,0.8526841448189763,0.4308510638297872,0.6829954954954954,0.7481060606060606,0.7731958762886598,0.8541666666666667,0.7422680412371134,0.09278350515463918,0.5083514887436456,0.484375,0.7708333333333334,0.7422680412371134,0.3017543859649122,0.07216494845360821,0.6159420289855073,0.4631578947368421,0.3385416666666667,0.5585106382978724,0.6041666666666666,0.5360824742268041,0.2989690721649485,0.90625,0.7525773195876289,0.5087719298245614,0.5655913978494623,0.6082474226804124,0.8541666666666666,0.5306122448979592,0.6941489361702128,0.7366515837104073,0.6082474226804124,0.6989247311827957,0.7216494845360825,0.6354166666666667,0.875,0.8408602150537635,0.8854166666666666,0.1030927835051546,0.671875,0.010309278350515427,0.5473684210526316,0.5192982456140351,0.8556701030927836,0.9072164948453608,0.6752688172043011,0.8247422680412371,0.4020618556701031,0.7422680412371134,0.3711340206185567,0.821505376344086,0.6804123711340206,0.5655913978494624,0.9587628865979382,0.5567010309278351,0.7708333333333334,0.9335106382978724,0.515625,0.3917525773195877,0.9278350515463918,0.5670103092783505,0.5478723404255319,0.8802083333333334,0.4427083333333333,0.8774193548387097,0.9270833333333333,0.7760416666666666,0.7291666666666666,0.8350515463917526,0.7083333333333333,0.765625,0.7731958762886598,0.7216494845360825,0.8247422680412371,0.8144329896907216,0.8865979381443299,0.7422680412371134
roc_thr,0.12165588140487671,0.10411950945854187,0.14331164956092834,0.14003664255142212,0.15027251839637756,0.061126917600631714,0.06699958443641663,0.03409242630004883,0.17076462507247925,0.28393006324768066,0.07473602890968323,0.08359795808792114,0.16462942957878113,0.14507049322128296,0.1128290593624115,0.07170480489730835,0.5567674040794373,0.11786159873008728,0.307837575674057,0.14763864874839783,0.14823338389396667,0.153495192527771,0.06586211919784546,0.06392848491668701,0.08586767315864563,0.09543266892433167,0.2279990017414093,0.11772096157073975,0.08045753836631775,0.18026822805404663,0.1247488260269165,0.1966344118118286,0.0857154130935669,0.14526137709617615,0.07241293787956238,0.19117441773414612,0.1859447956085205,0.12650620937347412,0.11829337477684021,0.0849488377571106,0.21114090085029602,0.09166556596755981,0.1047985851764679,0.09530007839202881,0.239883691072464,0.26067760586738586,0.057510554790496826,0.15749388933181763,0.05770355463027954,0.07276409864425659,0.08655774593353271,0.08046767115592957,0.0888916552066803,0.11190849542617798,0.22401118278503418,0.529177725315094,0.40293464064598083,0.03943049907684326,0.150665283203125,0.10715639591217041,0.0836048424243927,0.071462482213974,0.11471334099769592,0.09277951717376709,0.08332434296607971,0.0743793249130249,0.12192502617835999,0.07980400323867798,0.1470600664615631,0.17614004015922546,0.10492214560508728,0.1067800521850586,0.3702404499053955,0.28482022881507874,0.28611207008361816,0.20256701111793518,0.0628390908241272,0.07061663269996643,0.1959933042526245,0.23605948686599731,0.07869163155555725,0.08744931221008301,0.40948939323425293,0.1115412712097168,0.1691163182258606,0.08468690514564514,0.1182064414024353,0.05421090126037598,0.08010956645011902,0.07340416312217712,0.09739872813224792,0.22736996412277222,0.35008859634399414,0.3478241264820099,0.1282096803188324,0.07663244009017944,0.09965470433235168,0.13083693385124207,0.08405932784080505,0.08586594462394714,0.09258148074150085,0.049409836530685425,0.07494333386421204,0.3608781099319458,0.05108329653739929,0.2071499526500702,0.26035362482070923,0.10936346650123596,0.37766575813293457,0.36248570680618286,0.08255457878112793,0.09248405694961548,0.0955173671245575,0.03999966382980347,0.24177765846252441,0.09950235486030579,0.09836804866790771,0.06792566180229187,0.0660947859287262,0.04990619421005249,0.12603965401649475,0.09085121750831604,0.11798787117004395,0.08240485191345215,0.06923636794090271,0.07018828392028809,0.05222409963607788,0.10996368527412415,0.09757521748542786,0.11268547177314758,0.13350340723991394,0.06649625301361084,0.09776398539543152,0.13784697651863098,0.13373923301696777,0.22072064876556396,0.07466965913772583,0.10250908136367798,0.08360853791236877,0.08882379531860352,0.13306131958961487,0.12833735346794128,0.10825690627098083,0.03259947896003723,0.07576686143875122,0.031609565019607544,0.08891701698303223,0.08555871248245239,0.0870119035243988,0.0907004177570343,0.12358781695365906,0.08410564064979553,0.05118882656097412,0.0770261287689209,0.05969932675361633,0.09943884611129761,0.07393410801887512,0.10994207859039307,0.09071990847587585,0.0594363808631897,0.06946596503257751,0.14501547813415527,0.06265267729759216,0.06686127185821533,0.12074273824691772,0.06351664662361145,0.09465888142585754,0.10221099853515625,0.12385612726211548,0.13438108563423157,0.12534305453300476,0.08352866768836975,0.08612874150276184,0.0877159833908081,0.0698559582233429,0.06292468309402466,0.0738033652305603,0.06604841351509094,0.07968318462371826,0.08399948477745056,0.09840571880340576,0.07258555293083191
