EntrezGene Symbol (Human),UniProtDB ID (Human)
CCL8 ,CCL8_HUMAN
CCL9 ,
CX3CL1 ,X3CL1_HUMAN
CXCL1 ,GROA_HUMAN
CXCL10 ,CXL10_HUMAN
CXCL11 ,CXL11_HUMAN
CCL3P1,
CXCL12 ,SDF1_HUMAN
CXCL13 ,CXL13_HUMAN
CXCL14 ,CXL14_HUMAN
CXCL15 ,
CXCL16 ,CXL16_HUMAN
CXCL17 ,VCC1_HUMAN
CXCL2 ,CXCL2_HUMAN
CXCL3 ,CXCL3_HUMAN
PF4 ,PLF4_HUMAN
CXCL5 ,CXCL5_HUMAN
CCL3L3 ,CL3L1_HUMAN
CXCL6 ,CXCL6_HUMAN
PPBP ,CXCL7_HUMAN
CXCL8 ,IL8_HUMAN
CXCL9 ,CXCL9_HUMAN
CKLF ,CKLF_HUMAN
CMTM1 ,CKLF1_HUMAN
CMTM6 ,CKLF6_HUMAN
CMTM7 ,CKLF7_HUMAN
EGF ,EGF_HUMAN
EPO ,EPO_HUMAN
CCL4L1 ,CC4L_HUMAN
FGF1 ,FGF1_HUMAN
FGF2 ,FGF2_HUMAN
CSF3 ,CSF3_HUMAN
CSF2 ,CSF2_HUMAN
GDF15 ,GDF15_HUMAN
HGF ,HGF_HUMAN
IFNA1 ,IFNA1_HUMAN
IFNA10 ,IFN10_HUMAN
CCL4L2 ,
IFNA13 ,IFNA1_HUMAN
IFNA14 ,IFN14_HUMAN
IFNA16 ,IFN16_HUMAN
IFNA17 ,IFN17_HUMAN
IFNA2 ,IFNA2_HUMAN
IFNA21 ,IFN21_HUMAN
IFNA4 ,IFNA4_HUMAN
IFNA5 ,IFNA5_HUMAN
IFNA6 ,IFNA6_HUMAN
IFNA7 ,IFNA7_HUMAN
CD40LG ,CD40L_HUMAN
IFNA8 ,IFNA8_HUMAN
IFNB1 ,IFNB_HUMAN
IFNE ,IFNE_HUMAN
IFNG ,IFNG_HUMAN
IFNK ,IFNK_HUMAN
IL1RN ,IL1RA_HUMAN
IL1A ,IL1A_HUMAN
IL1B ,IL1B_HUMAN
CD70 ,CD70_HUMAN
IL36RN ,I36RA_HUMAN
IL36G ,IL36G_HUMAN
IL1F10 ,IL1FA_HUMAN
IL10 ,IL10_HUMAN
IL11 ,IL11_HUMAN
IL12A ,IL12A_HUMAN
IL12B ,IL12B_HUMAN
IL13 ,IL13_HUMAN
IL14 ,
LBT,TNFC_HUMAN
TNFSF18,TNF18_HUMAN
TNFSF10,TNF10_HUMAN
MST1,HGFL_HUMAN
IL18R1,IL18R_HUMAN
FASLG,TNFL6_HUMAN
FLT3LG,FLT3L_HUMAN
