cytokine,cell
EPO,B cell
EPO,white fat cell
EPO,microglial cell
EPO,capillary endothelial cell
EPO,basophilic erythroblast
EPO,neuron of cerebral cortex
EPO,motor neuron
EPO,skeletal muscle myoblast
CXCL1,neutrophil
CXCL1,monocyte
CXCL1,macrophage
CXCL1,osteoclast
CXCL1,oligodendrocyte
CXCL1,endothelial cell
CXCL1,astrocyte
CXCL1,stem cell
CXCL1,mature astrocyte
CXCL1,bladder cell
CXCL1,endothelial cell of lymphatic vessel
CXCL1,keratinocyte
CXCL1,mature neutrophil
CCL4L2,plasmacytoid dendritic cell
CCL4L2,macrophage
CCL4L2,stem cell
CCL4L2,T cell
CCL8,leukocyte
CCL8,keratinocyte
CCL21,T cell
CCL21,neuron
CCL21,leukocyte
CCL21,endothelial cell of lymphatic vessel
CCL21,B cell
CCL21,naive T cell
CCL21,effector T cell
CCL21,lymphocyte
CCL21,"CD4-positive, alpha-beta T cell"
CCL21,microglial cell
CCL21,stromal cell
CCL2,monocyte
CCL2,macrophage
CCL2,endothelial cell
CCL2,leukocyte
CCL2,fibroblast
CCL2,T cell
CCL2,fat cell
CCL2,astrocyte
CCL2,neutrophil
CCL2,neuron
CCL2,mesangial cell
CCL2,epithelial cell
CCL2,osteoblast
CCL2,microglial cell
CCL2,peritoneal macrophage
CCL2,osteoclast
CCL2,hepatocyte
CCL2,"CD4-positive, alpha-beta T cell"
CCL2,glomerular visceral epithelial cell
CCL2,epithelial cell of lung
CCL2,eosinophil
CCL2,"CD8-positive, alpha-beta T cell"
CCL2,lymphocyte
CCL2,B cell
CCL2,mononuclear phagocyte
CCL2,classical monocyte
CCL2,neuronal stem cell
CCL2,T-helper 2 cell
CCL2,glial cell
CCL2,hematopoietic stem cell
CCL2,pain receptor cell
CCL2,fibrocyte
CCL2,natural killer cell
CCL2,stromal cell
CCL2,epithelial cell of prostate
CCL2,inflammatory macrophage
CCL2,keratinocyte
CCL2,alveolar macrophage
CCL2,osteocyte
CCL2,mature astrocyte
CCL2,platelet
CCL2,mast cell progenitor
CCL2,alternatively activated macrophage
CCL2,endothelial cell of vascular tree
CCL2,muscle cell
CCL2,adipose macrophage
CCL2,mesenchymal cell
CCL2,mature microglial cell
CCL2,"CD14-positive, CD16-positive monocyte"
CCL2,T-helper 1 cell
CCL2,embryonic stem cell
CCL2,pneumocyte
CCL2,smooth muscle cell
CCL2,vascular associated smooth muscle cell
CCL2,cap cell
CCL2,bronchial epithelial cell
CCL2,bladder cell
CCL2,mature neutrophil
CCL2,respiratory epithelial cell
CCL2,mesothelial cell of peritoneum
CCL2,neuroblast (sensu Nematoda and Protostomia)
CCL2,stem cell
CCL2,pancreatic acinar cell
CCL2,type B pancreatic cell
CCL2,professional antigen presenting cell
CCL2,hepatic stellate cell
CCL2,plasmacytoid dendritic cell
CCL2,kidney cell
CCL2,motor neuron
CCL2,mesothelial cell
CCL2,Kupffer cell
CCL2,dendritic cell
CCL26,eosinophil
CCL26,T cell
CCL26,neuron
CCL26,macrophage
CCL26,epithelial cell
CCL26,microglial cell
CCL26,monocyte
CCL26,memory T cell
CCL26,fat cell
CCL26,retinal ganglion cell
CCL26,"CD8-positive, alpha-beta memory T cell"
CCL26,pneumocyte
CCL26,B cell
CCL26,naive T cell
CCL26,astrocyte
CCL26,natural killer cell
CCL26,glomerular visceral epithelial cell
CCL26,"CD8-positive, alpha-beta T cell"
CCL26,myeloid cell
CCL26,T-helper 17 cell
CCL26,multinucleated giant cell
CCL26,stem cell
CCL26,acinar cell of sebaceous gland
CCL26,T-helper 1 cell
CCL17,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL17,"CD4-positive, alpha-beta T cell"
CCL17,Leydig cell
CCL7,neutrophil
CCL7,classical monocyte
CCL7,eosinophil
CCL7,neuron
CCL7,leukocyte
CCL7,B cell
CCL7,endothelial cell of vascular tree
CCL7,microglial cell
CCL7,mature B cell
CCL7,astrocyte
CCL20,T-helper 17 cell
CCL20,lymphocyte
CCL20,T cell
CCL20,leukocyte
CCL20,enterocyte
CCL20,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL20,keratinocyte
CCL20,mammary epithelial cell
CCL20,osteoblast
CCL20,fibroblast
CCL20,"CD8-positive, alpha-beta cytotoxic T cell"
CCL20,intestinal epithelial cell
CCL20,macrophage
CCL20,T-helper 9 cell
CCL20,dendritic cell
CCL20,neuron
CCL20,T-helper 1 cell
CCL20,epithelial cell
CCL20,B cell
CCL20,fat cell
CCL20,hematopoietic stem cell
CCL20,neutrophil
CCL20,effector T cell
CD70,fibroblast
CD70,B cell
CD40LG,platelet
CD40LG,T cell
CD40LG,B cell
CD40LG,"CD4-positive, alpha-beta T cell"
CD40LG,dendritic cell
CD40LG,lymphocyte
CD40LG,leukocyte
CD40LG,monocyte
CD40LG,fibroblast
CD40LG,"CD8-positive, alpha-beta T cell"
CD40LG,macrophage
CD40LG,regulatory B cell
CD40LG,endothelial cell
CD40LG,eosinophil
CD40LG,neuron
CD40LG,T-helper 1 cell
CD40LG,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CD40LG,memory B cell
CD40LG,myeloblast
CD40LG,effector T cell
CD40LG,naive T cell
CD40LG,B-1a B cell
CD40LG,marginal zone B cell
CD40LG,mast cell
CD40LG,microglial cell
CD40LG,astrocyte
CD40LG,natural killer cell
CD40LG,adult endothelial progenitor cell
CD40LG,neutrophil
CD40LG,fat cell
CD40LG,"CD8-positive, alpha-beta cytotoxic T cell"
CD40LG,regulatory T cell
CD40LG,aortic endothelial cell
CD40LG,plasmacytoid dendritic cell
CD40LG,"CD8-positive, alpha-beta memory T cell"
CCL5,T cell
CCL5,leukocyte
CCL5,"CD8-positive, alpha-beta T cell"
CCL5,monocyte
CCL5,lymphocyte
CCL5,macrophage
CCL5,hepatocyte
CCL5,microglial cell
CCL5,type B pancreatic cell
CCL5,B cell
CCL5,"CD4-positive, alpha-beta intraepithelial T cell"
CCL5,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL5,effector T cell
CCL5,stromal cell
CCL5,platelet
CCL5,alveolar macrophage
CCL5,neutrophil
CCL5,neuron
CCL5,glial cell
CCL5,astrocyte
CCL5,osteoclast
CCL5,mesenchymal cell
CCL5,eosinophil
CCL5,respiratory epithelial cell
CCL5,mast cell
CCL5,cardiac muscle cell
CCL19,macrophage
CCL19,T cell
CCL19,T-helper 1 cell
CCL19,natural killer cell
CCL19,eosinophil
CCL1,"CD4-positive, alpha-beta T cell"
CCL1,lymphocyte
CCL1,T cell
CCL1,macrophage
CCL1,mast cell
CCL1,embryonic stem cell
CCL1,T-helper 2 cell
CCL27,keratinocyte
CCL27,T cell
CCL27,"CD4-positive, alpha-beta T cell"
CCL27,stem cell
CCL27,leukocyte
CCL22,macrophage
CCL22,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL22,T cell
CCL22,alveolar macrophage
CCL22,plasmacytoid dendritic cell
CCL22,dendritic cell
CCL22,T-helper 2 cell
CCL22,thymocyte
CCL22,induced T-regulatory cell
CCL24,eosinophil
CCL24,trophoblast cell
CCL25,T cell
CCL25,thymocyte
CCL25,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL25,"CD8-positive, alpha-beta T cell"
CCL25,mesenchymal cell
CCL25,monocyte
CCL25,lymphocyte
CCL15,leukocyte
CCL15,monocyte
CCL15,endothelial cell
CCL15,myeloid lineage restricted progenitor cell
CCL15,eosinophil
CCL15,osteoclast
CCL18,T cell
CCL18,precursor B cell
CCL18,lymphocyte
CCL18,"CD4-positive, alpha-beta T cell"
CCL18,eosinophil
CCL18,endothelial cell
CCL18,leukocyte
CCL18,macrophage
CCL18,fat cell
CCL11,eosinophil
CCL11,fibroblast
CCL11,basophil
CCL11,leukocyte
CCL11,mast cell
CCL11,T cell
CCL11,epithelial cell
CCL11,monocyte
CCL11,eosinophil progenitor cell
CCL11,B cell
CCL11,tanycyte
CCL11,"CD4-positive, alpha-beta T cell"
CCL11,T-helper 2 cell
CCL16,eosinophil
CCL16,endothelial cell of vascular tree
CSF3,neutrophil
CSF3,stem cell
CSF3,hematopoietic stem cell
CSF3,granulocyte
CSF3,peripheral blood stem cell
CSF3,leukocyte
CSF3,myeloid cell
CSF3,T cell
CSF3,monocyte
CSF3,mature neutrophil
CSF3,neuron
CSF3,granulocyte monocyte progenitor cell
CSF3,platelet
CSF3,endothelial cell
CSF3,myeloid lineage restricted progenitor cell
CSF3,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CSF3,lymphocyte
CSF3,macrophage
CSF3,common myeloid progenitor
CSF3,B cell
CSF3,adult endothelial progenitor cell
CSF3,myeloblast
CSF3,osteoclast
CSF3,cardiac muscle cell
CSF3,plasma cell
CSF3,fibroblast
CSF3,bone marrow cell
CSF3,natural killer cell
CSF3,mesenchymal cell
CSF3,oocyte
CSF3,bladder cell
CSF3,motor neuron
CSF3,dopaminergic neuron
CSF3,eosinophil
CSF3,osteoblast
CSF3,hippocampal neuron
CSF3,hepatocyte
CSF3,"CD8-positive, alpha-beta T cell"
CSF3,megakaryocyte
CSF3,microglial cell
CSF3,blood cell
CSF3,"CD4-positive, alpha-beta T cell"
CSF3,astrocyte
CSF3,neural cell
CSF3,peritoneal macrophage
CSF3,smooth muscle myoblast
CSF3,dendritic cell
CSF3,T-helper 17 cell
CSF3,keratinocyte
CSF3,myelinating Schwann cell
CSF3,myotube
CSF3,hepatic stem cell
CSF3,synovial cell
CSF3,T-helper 2 cell
CSF3,mature NK T cell
CSF3,immature neutrophil
CSF3,muscle cell
CSF3,T-helper 1 cell
CSF3,enterocyte
CSF3,germ cell
CSF3,trophoblast cell
CCL3,osteoclast
CCL3,leukocyte
CCL3,macrophage
CCL3,eosinophil
CCL3,T cell
CCL3,neutrophil
CCL3,hematopoietic stem cell
CCL3,stem cell
CCL3,mesenchymal cell
CCL3,basophil
CCL3,"CD4-positive, alpha-beta T cell"
CCL3,monocyte
CCL3,hepatic stellate cell
CCL3,astrocyte
CCL3,natural killer cell
CCL3,mast cell
CCL3,"CD8-positive, alpha-beta T cell"
CCL3,granulocyte monocyte progenitor cell
CCL3,erythroid progenitor cell
CCL3,platelet
CCL3,common myeloid progenitor
CCL3,plasma cell
CCL3,microglial cell
CCL3,neuron
CCL3,effector T cell
CCL3,keratinocyte
CCL3,alveolar macrophage
CCL3,myelinating Schwann cell
CCL13,neuron
CCL13,macrophage
CCL13,eosinophil
CSF1,macrophage
CSF1,osteoclast
CSF1,monocyte
CSF1,mononuclear phagocyte
CSF1,stromal cell
CSF1,fibroblast
CSF1,microglial cell
CSF1,T cell
CSF1,peritoneal macrophage
CSF1,Kupffer cell
CSF1,granulocyte
CSF1,osteoblast
CSF1,platelet
CSF1,bone marrow cell
CSF1,myeloid cell
CSF1,stem cell
CSF1,astrocyte
CSF1,neuron
CSF1,myoblast
CSF1,"CD4-positive, alpha-beta T cell"
CSF1,keratinocyte
CSF1,epithelial cell
CSF1,chondrocyte
CSF1,erythroid progenitor cell
