cytokine,cell
TGFB,epidermal cell
CXCL3,T cell
IFNG,interstitial cell of Cajal
TNF,cementoblast
CCL4,lymphocyte
TGFB1,mature microglial cell
CCL5,neuron
CXCL8,"CD4-positive, alpha-beta T cell"
IL18,macrophage
IL22,fibroblast
IL1B,mesenchymal cell
IFNG,epithelial cell
IL4,fibroblast
CCL26,"CD8-positive, alpha-beta T cell"
IL1B,epithelial cell
IL10,fat cell
IL17,T cell
FGF2,embryonic stem cell
TGFB,mesothelial cell
CCL5,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL10,classical monocyte
TNFSF13B,T cell
IFNG,endothelial cell of lymphatic vessel
EPO,mesenchymal cell
IL3,stem cell
IL1B,articular chondrocyte
IL23,T cell
FGF2,hippocampal neuron
CCL2,vascular associated smooth muscle cell
TNFSF9,B cell
IL6,lymphocyte
IL10,effector T cell
CSF3,eosinophil
IL12A,T cell
TGFB,prostate stromal cell
IFNA,T-helper 17 cell
IL27,Tc17 cell
TGF,mammary epithelial cell
IL6,mesangial cell
IL17A,retinal cell
IL17,keratinocyte
CCL5,leukocyte
CCL13,eosinophil
IFNA,glial cell
CCL15,myeloid lineage restricted progenitor cell
IL18,Kupffer cell
IL1B,natural killer cell
IL18,neuron
CXCL11,dendritic cell
TGFB2,epithelial cell
TGFB,fibrocyte
HGF,vascular associated smooth muscle cell
IL33,B-1 B cell
IFNB1,microglial cell
IL17,effector T cell
RETN,leukocyte
IFNA,plasma cell
TGFB,acinar cell
IL17,platelet
IL1B,smooth muscle cell
IL15,leukocyte
IL34,fat cell
IL4,basophil
TNF,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL7,leukocyte
IL5,macrophage
TNF,muscle cell
IL4,myeloid suppressor cell
IL33,leukocyte
IL17,macrophage
TGFB2,endothelial cell of lymphatic vessel
IL32,eosinophil
TGFB3,fibrocyte
IL17,B cell
CXCL9,T-helper 1 cell
TGFB1,respiratory epithelial cell
CSF3,muscle cell
CSF1,erythrocyte
IL6,smooth muscle cell
CXCL11,T cell
IL13,T-helper 17 cell
IL25,inflammatory macrophage
IL16,eosinophil
IFNA,stem cell
CXCL12,mature CD4 single-positive thymocyte
IL10,naive T cell
IFNL3,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TNFSF14,neutrophil
IL17,endothelial cell
CXCL16,epithelial cell
IL6,stromal cell
KITLG,granulosa cell
CCL23,monocyte
TGFB,thymocyte
IL3,neuron
CD40LG,"CD8-positive, alpha-beta memory T cell"
IL10,follicular dendritic cell
IL1B,epithelial cell of lung
FGF2,skin fibroblast
KITLG,hematopoietic stem cell
IL13,T cell
CXCL6,neutrophil
TGFB1,leukocyte
IL6,plasma cell
TGFB2,lymphocyte
IL1,bone marrow cell
TNFSF9,"CD4-positive, alpha-beta T cell"
IL1,epidermal cell
TGFB,inflammatory macrophage
IFNG,cholangiocyte
TNF,cytotoxic T cell
IL1RN,cardiac muscle cell
CCL2,lymphocyte
CCL6,macrophage
LIF,macrophage
IL15,naive T cell
IL12,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
EGF,epithelial cell
EPO,megakaryocyte
IFNG,mesenchymal cell
CCL3,monocyte
IL7,neuron
TNF,vascular associated smooth muscle cell
CXCL8,mature neutrophil
IL6,myotube
CCL2,peritoneal macrophage
IL35,platelet
IL1B,epidermal cell
IL23,"CD4-positive, alpha-beta T cell"
CD40LG,neutrophil
TNFSF9,regulatory T cell
IL33,fibroblast
IL1B,megakaryocyte
IL1B,myoblast
TGFB,bone cell
IL6,chondrocyte
GDF15,platelet
IFNG,mature neutrophil
IL1RN,microglial cell
GDF15,neutrophil
CCL1,macrophage
IL6,mesothelial cell
IL33,muscle cell
CSF2,neuronal stem cell
CCL25,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
PDGF,platelet
IFNG,Kupffer cell
CCL2,platelet
CCL20,T cell
TGFB,goblet cell
IL27,"CD4-positive, alpha-beta T cell"
IL9,T-helper 2 cell
IL23,keratinocyte
CXCL1,oligodendrocyte
