,cytokine,cell,source
597,CSF3,T-helper 1 cell,cell-cytokine
598,CSF3,enterocyte,cell-cytokine
599,CSF3,germ cell,cell-cytokine
600,CSF3,trophoblast cell,cell-cytokine
601,CCL3,osteoclast,cell-cytokine
602,CCL3,leukocyte,cell-cytokine
603,CCL3,macrophage,cell-cytokine
604,CCL3,eosinophil,cell-cytokine
605,CCL3,T cell,cell-cytokine
606,CCL3,neutrophil,cell-cytokine
607,CCL3,hematopoietic stem cell,cell-cytokine
608,CCL3,stem cell,cell-cytokine
609,CCL3,mesenchymal cell,cell-cytokine
610,CCL3,basophil,cell-cytokine
611,CCL3,"CD4-positive, alpha-beta T cell",cell-cytokine
612,CCL3,monocyte,cell-cytokine
613,CCL3,hepatic stellate cell,cell-cytokine
614,CCL3,astrocyte,cell-cytokine
615,CCL3,natural killer cell,cell-cytokine
616,CCL3,mast cell,cell-cytokine
617,CCL3,"CD8-positive, alpha-beta T cell",cell-cytokine
618,CCL3,granulocyte monocyte progenitor cell,cell-cytokine
619,CCL3,erythroid progenitor cell,cell-cytokine
620,CCL3,platelet,cell-cytokine
621,CCL3,common myeloid progenitor,cell-cytokine
622,CCL3,plasma cell,cell-cytokine
623,CCL3,microglial cell,cell-cytokine
624,CCL3,neuron,cell-cytokine
625,CCL3,effector T cell,cell-cytokine
626,CCL3,keratinocyte,cell-cytokine
627,CCL3,alveolar macrophage,cell-cytokine
628,CCL3,myelinating Schwann cell,cell-cytokine
629,CCL13,neuron,cell-cytokine
630,CCL13,macrophage,cell-cytokine
631,CCL13,eosinophil,cell-cytokine
632,CSF1,macrophage,cell-cytokine
633,CSF1,osteoclast,cell-cytokine
634,CSF1,monocyte,cell-cytokine
635,CSF1,mononuclear phagocyte,cell-cytokine
636,CSF1,stromal cell,cell-cytokine
637,CSF1,fibroblast,cell-cytokine
638,CSF1,microglial cell,cell-cytokine
639,CSF1,T cell,cell-cytokine
640,CSF1,peritoneal macrophage,cell-cytokine
641,CSF1,Kupffer cell,cell-cytokine
642,CSF1,granulocyte,cell-cytokine
643,CSF1,osteoblast,cell-cytokine
644,CSF1,platelet,cell-cytokine
645,CSF1,bone marrow cell,cell-cytokine
646,CSF1,myeloid cell,cell-cytokine
647,CSF1,stem cell,cell-cytokine
648,CSF1,astrocyte,cell-cytokine
649,CSF1,neuron,cell-cytokine
650,CSF1,myoblast,cell-cytokine
651,CSF1,"CD4-positive, alpha-beta T cell",cell-cytokine
652,CSF1,keratinocyte,cell-cytokine
653,CSF1,epithelial cell,cell-cytokine
654,CSF1,chondrocyte,cell-cytokine
655,CSF1,erythroid progenitor cell,cell-cytokine
656,CSF1,neutrophil,cell-cytokine
657,CSF1,sperm,cell-cytokine
658,CSF1,intermediate monocyte,cell-cytokine
659,CSF1,endothelial cell,cell-cytokine
660,CSF1,"CD14-positive, CD16-positive monocyte",cell-cytokine
661,CSF1,cardiac muscle cell,cell-cytokine
662,CSF1,granulosa cell,cell-cytokine
663,CSF1,erythrocyte,cell-cytokine
664,CSF1,oocyte,cell-cytokine
665,CSF1,ligament cell,cell-cytokine
666,CSF1,bone marrow macrophage,cell-cytokine
667,CSF1,preadipocyte,cell-cytokine
668,CSF1,thymocyte,cell-cytokine
669,CSF1,hematopoietic stem cell,cell-cytokine
670,CSF1,endothelial cell of vascular tree,cell-cytokine
671,CSF1,myotube,cell-cytokine
672,IL13,T cell,cell-cytokine
673,IL13,goblet cell,cell-cytokine
674,IL13,B cell,cell-cytokine
675,IL13,eosinophil,cell-cytokine
676,IL13,monocyte,cell-cytokine
677,IL13,basophil,cell-cytokine
678,IL13,macrophage,cell-cytokine
679,IL13,T-helper 2 cell,cell-cytokine
680,IL13,respiratory epithelial cell,cell-cytokine
681,IL13,fibroblast,cell-cytokine
682,IL13,"CD8-positive, alpha-beta T cell",cell-cytokine
683,IL13,mast cell,cell-cytokine
684,IL13,leukocyte,cell-cytokine
685,IL13,epithelial cell,cell-cytokine
686,IL13,bronchial epithelial cell,cell-cytokine
687,IL13,"CD4-positive, alpha-beta T cell",cell-cytokine
688,IL13,neuron,cell-cytokine
689,IL13,alternatively activated macrophage,cell-cytokine
690,IL13,keratocyte,cell-cytokine
691,IL13,lymphocyte,cell-cytokine
692,IL13,glomerular visceral epithelial cell,cell-cytokine
693,IL13,hepatocyte,cell-cytokine
694,IL13,multinucleated giant cell,cell-cytokine
695,IL13,ciliated epithelial cell,cell-cytokine
696,IL13,erythrocyte,cell-cytokine
697,IL13,fibrocyte,cell-cytokine
698,IL13,CD4-positive helper T cell,cell-cytokine
699,IL13,hippocampal neuron,cell-cytokine
700,IL13,mature NK T cell,cell-cytokine
701,IL13,stem cell,cell-cytokine
702,IL13,T-helper 1 cell,cell-cytokine
703,IL13,T-helper 17 cell,cell-cytokine
704,IL13,"CD4-positive, alpha-beta intraepithelial T cell",cell-cytokine
705,IL31,T cell,cell-cytokine
706,IL31,sensory neuron,cell-cytokine
707,IL31,T-helper 2 cell,cell-cytokine
708,IL31,keratinocyte,cell-cytokine
709,IL31,neuron,cell-cytokine
710,IL31,epidermal cell,cell-cytokine
711,IL5,eosinophil,cell-cytokine
712,IL5,T cell,cell-cytokine
713,IL5,B cell,cell-cytokine
714,IL5,"CD4-positive, alpha-beta T cell",cell-cytokine
715,IL5,T-helper 2 cell,cell-cytokine
716,IL5,lymphocyte,cell-cytokine
717,IL5,"CD8-positive, alpha-beta T cell",cell-cytokine
718,IL5,B-1 B cell,cell-cytokine
719,IL5,bone marrow cell,cell-cytokine
720,IL5,basophil,cell-cytokine
721,IL5,stromal cell,cell-cytokine
722,IL5,neutrophil,cell-cytokine
723,IL5,macrophage,cell-cytokine
724,IL5,regulatory T cell,cell-cytokine
725,IL5,B-1a B cell,cell-cytokine
726,IL5,mature eosinophil,cell-cytokine
727,IL5,helper T cell,cell-cytokine
728,IL5,eosinophil progenitor cell,cell-cytokine
729,IL5,stem cell,cell-cytokine
730,IL5,pericyte cell,cell-cytokine
731,IL5,cardiac muscle cell,cell-cytokine
732,IL1B,macrophage,cell-cytokine
733,IL1B,monocyte,cell-cytokine
734,IL1B,chondrocyte,cell-cytokine
735,IL1B,neutrophil,cell-cytokine
736,IL1B,fibroblast,cell-cytokine
737,IL1B,microglial cell,cell-cytokine
738,IL1B,astrocyte,cell-cytokine
739,IL1B,leukocyte,cell-cytokine
740,IL1B,synovial cell,cell-cytokine
741,IL1B,neuron,cell-cytokine
742,IL1B,type B pancreatic cell,cell-cytokine
743,IL1B,platelet,cell-cytokine
744,IL1B,peritoneal macrophage,cell-cytokine
745,IL1B,osteoblast,cell-cytokine
746,IL1B,alveolar macrophage,cell-cytokine
747,IL1B,lymphocyte,cell-cytokine
748,IL1B,eosinophil,cell-cytokine
749,IL1B,keratinocyte,cell-cytokine
750,IL1B,endothelial cell,cell-cytokine
751,IL1B,epithelial cell,cell-cytokine
752,IL1B,osteoclast,cell-cytokine
753,IL1B,Kupffer cell,cell-cytokine
754,IL1B,T cell,cell-cytokine
755,IL1B,stromal cell,cell-cytokine
756,IL1B,mesangial cell,cell-cytokine
757,IL1B,myeloid cell,cell-cytokine
758,IL1B,fat cell,cell-cytokine
759,IL1B,T-helper 17 cell,cell-cytokine
760,IL1B,hepatocyte,cell-cytokine
761,IL1B,articular chondrocyte,cell-cytokine
762,IL1B,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
763,IL1B,B cell,cell-cytokine
764,IL1B,respiratory epithelial cell,cell-cytokine
765,IL1B,oligodendrocyte,cell-cytokine
766,IL1B,glial cell,cell-cytokine
767,IL1B,inflammatory macrophage,cell-cytokine
768,IL1B,smooth muscle cell,cell-cytokine
769,IL1B,T-helper 2 cell,cell-cytokine
770,IL1B,mononuclear phagocyte,cell-cytokine
771,IL1B,cardiac fibroblast,cell-cytokine
772,IL1B,preadipocyte,cell-cytokine
773,IL1B,mesenchymal cell,cell-cytokine
774,IL1B,natural killer cell,cell-cytokine
775,IL1B,plasma cell,cell-cytokine
776,IL1B,muscle cell,cell-cytokine
777,IL1B,mast cell,cell-cytokine
778,IL1B,megakaryocyte,cell-cytokine
779,IL1B,"CD4-positive, alpha-beta T cell",cell-cytokine
780,IL1B,cardiac muscle cell,cell-cytokine
781,IL1B,embryonic stem cell,cell-cytokine
782,IL1B,hematopoietic stem cell,cell-cytokine
783,IL1B,osteocyte,cell-cytokine
784,IL1B,glomerular visceral epithelial cell,cell-cytokine
785,IL1B,granulocyte,cell-cytokine
786,IL1B,foreskin fibroblast,cell-cytokine
787,IL1B,basophil,cell-cytokine
788,IL1B,fibrocyte,cell-cytokine
789,IL1B,myoblast,cell-cytokine
790,IL1B,endothelial cell of lymphatic vessel,cell-cytokine
791,IL1B,hippocampal neuron,cell-cytokine
792,IL1B,Langerhans cell,cell-cytokine
793,IL1B,melanocyte,cell-cytokine
794,IL1B,T-helper 1 cell,cell-cytokine
795,IL1B,professional antigen presenting cell,cell-cytokine
796,IL1B,leptomeningeal cell,cell-cytokine
797,IL1B,parietal cell,cell-cytokine
798,IL1B,tendon cell,cell-cytokine
799,IL1B,vascular associated smooth muscle cell,cell-cytokine
800,IL1B,effector T cell,cell-cytokine
801,IL1B,memory T cell,cell-cytokine
802,IL1B,odontoblast,cell-cytokine
803,IL1B,epithelial cell of lung,cell-cytokine
804,IL1B,Clara cell,cell-cytokine
805,IL1B,gingival epithelial cell,cell-cytokine
806,IL1B,splenic macrophage,cell-cytokine
807,IL1B,cytotoxic T cell,cell-cytokine
808,IL1B,pneumocyte,cell-cytokine
809,IL1B,acinar cell,cell-cytokine
810,IL1B,dopaminergic neuron,cell-cytokine
811,IL1B,enterocyte,cell-cytokine
812,IL1B,epidermal cell,cell-cytokine
813,IL1B,type I pneumocyte,cell-cytokine
814,IL1B,neural cell,cell-cytokine
815,IL1B,blood cell,cell-cytokine
816,IL1B,regular atrial cardiac myocyte,cell-cytokine
817,IL1B,precursor B cell,cell-cytokine
818,IL1B,intermediate monocyte,cell-cytokine
819,IL1B,motor neuron,cell-cytokine
820,IL1B,pancreatic stellate cell,cell-cytokine
821,IL1B,vein endothelial cell,cell-cytokine
822,IL1B,retinal cell,cell-cytokine
823,IL1B,B-1a B cell,cell-cytokine
824,IL1B,lung endothelial cell,cell-cytokine
825,IL1B,goblet cell,cell-cytokine
826,IL1B,corneal epithelial cell,cell-cytokine
827,IL1B,bronchial epithelial cell,cell-cytokine
828,IL26,natural killer cell,cell-cytokine
829,IL15,natural killer cell,cell-cytokine
830,IL15,T cell,cell-cytokine
831,IL15,"CD8-positive, alpha-beta T cell",cell-cytokine
832,IL15,lymphocyte,cell-cytokine
833,IL15,B cell,cell-cytokine
834,IL15,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
835,IL15,"CD4-positive, alpha-beta T cell",cell-cytokine
836,IL15,monocyte,cell-cytokine
837,IL15,neutrophil,cell-cytokine
838,IL15,intestinal epithelial cell,cell-cytokine
839,IL15,epithelial cell,cell-cytokine
840,IL15,mature natural killer cell,cell-cytokine
841,IL15,mast cell,cell-cytokine
842,IL15,keratinocyte,cell-cytokine
843,IL15,macrophage,cell-cytokine
844,IL15,T-helper 1 cell,cell-cytokine
845,IL15,effector T cell,cell-cytokine
846,IL15,eosinophil,cell-cytokine
847,IL15,"CD8-positive, alpha-beta memory T cell",cell-cytokine
848,IL15,memory T cell,cell-cytokine
849,IL15,"effector memory CD8-positive, alpha-beta T cell",cell-cytokine
850,IL15,mature NK T cell,cell-cytokine
851,IL15,gamma-delta T cell,cell-cytokine
852,IL15,fat cell,cell-cytokine
853,IL15,naive T cell,cell-cytokine
854,IL15,female germ cell,cell-cytokine
855,IL15,hematopoietic stem cell,cell-cytokine
856,IL15,"CD4-positive, alpha-beta intraepithelial T cell",cell-cytokine
857,IL15,endothelial cell,cell-cytokine
858,IL15,hepatocyte,cell-cytokine
859,IL15,leukocyte,cell-cytokine
860,IL15,IgA memory B cell,cell-cytokine
861,IL15,osteoclast,cell-cytokine
862,IL15,microglial cell,cell-cytokine
863,IL15,stromal cell,cell-cytokine
864,IL15,dendritic cell,cell-cytokine
865,IL15,cardiac muscle cell,cell-cytokine
866,IL15,fibroblast,cell-cytokine
867,IL15,"CD8-positive, alpha-beta thymocyte",cell-cytokine
868,IL15,myotube,cell-cytokine
869,IL15,myoblast,cell-cytokine
870,IL15,myeloid cell,cell-cytokine
871,IL15,cytotoxic T cell,cell-cytokine
872,IL21,B cell,cell-cytokine
873,IL21,"CD4-positive, alpha-beta T cell",cell-cytokine
874,IL21,"CD8-positive, alpha-beta T cell",cell-cytokine
875,IL21,T cell,cell-cytokine
876,IL21,natural killer cell,cell-cytokine
877,IL21,T-helper 17 cell,cell-cytokine
878,IL21,T follicular helper cell,cell-cytokine
879,IL21,lymphocyte,cell-cytokine
880,IL21,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
881,IL21,plasma cell,cell-cytokine
882,IL21,T-helper 1 cell,cell-cytokine
883,IL21,mature NK T cell,cell-cytokine
884,IL21,macrophage,cell-cytokine
885,IL21,germinal center B cell,cell-cytokine
886,IL21,leukocyte,cell-cytokine
887,IL21,intestinal epithelial cell,cell-cytokine
888,IL21,regulatory B cell,cell-cytokine
889,IL21,conventional dendritic cell,cell-cytokine
890,IL21,stromal cell,cell-cytokine
891,IL21,mature natural killer cell,cell-cytokine
892,IL21,neutrophil,cell-cytokine
893,IL21,alternatively activated macrophage,cell-cytokine
894,IL21,fibroblast,cell-cytokine
895,IL21,mast cell,cell-cytokine
896,IL21,"CD4-positive, alpha-beta intraepithelial T cell",cell-cytokine
897,IL21,regulatory T cell,cell-cytokine
898,IL21,memory B cell,cell-cytokine
899,IL21,"CD4-positive, alpha-beta memory T cell",cell-cytokine
900,IL21,professional antigen presenting cell,cell-cytokine
901,IL21,T-helper 9 cell,cell-cytokine
902,IL21,keratinocyte,cell-cytokine
903,IL21,"CD8-positive, alpha-beta cytotoxic T cell",cell-cytokine
904,IL22,T-helper 22 cell,cell-cytokine
905,IL22,keratinocyte,cell-cytokine
906,IL22,T cell,cell-cytokine
907,IL22,T-helper 17 cell,cell-cytokine
908,IL22,"CD4-positive, alpha-beta T cell",cell-cytokine
909,IL22,epithelial cell,cell-cytokine
910,IL22,hepatocyte,cell-cytokine
911,IL22,T-helper 1 cell,cell-cytokine
912,IL22,natural killer cell,cell-cytokine
913,IL22,eosinophil,cell-cytokine
914,IL22,helper T cell,cell-cytokine
915,IL22,neutrophil,cell-cytokine
916,IL22,leukocyte,cell-cytokine
917,IL22,hematopoietic stem cell,cell-cytokine
918,IL22,paneth cell,cell-cytokine
919,IL22,mast cell,cell-cytokine
920,IL22,tracheal epithelial cell,cell-cytokine
921,IL22,type B pancreatic cell,cell-cytokine
922,IL22,osteoclast,cell-cytokine
923,IL22,regulatory T cell,cell-cytokine
924,IL22,B cell,cell-cytokine
925,IL22,lining cell,cell-cytokine
926,IL22,effector T cell,cell-cytokine
927,IL22,embryonic stem cell,cell-cytokine
928,IL22,goblet cell,cell-cytokine
929,IL22,fibroblast,cell-cytokine
930,IL22,intestinal epithelial cell,cell-cytokine
931,IL22,alveolar macrophage,cell-cytokine
932,IL22,epithelial cell of lung,cell-cytokine
933,IL22,"CD8-positive, alpha-beta T cell",cell-cytokine
934,IL22,mononuclear phagocyte,cell-cytokine
935,IL22,respiratory epithelial cell,cell-cytokine
936,IL22,retinal pigment epithelial cell,cell-cytokine
937,IL4,T cell,cell-cytokine
938,IL4,B cell,cell-cytokine
939,IL4,"CD4-positive, alpha-beta T cell",cell-cytokine
940,IL4,T-helper 2 cell,cell-cytokine
941,IL4,macrophage,cell-cytokine
942,IL4,basophil,cell-cytokine
943,IL4,lymphocyte,cell-cytokine
944,IL4,mast cell,cell-cytokine
945,IL4,monocyte,cell-cytokine
946,IL4,eosinophil,cell-cytokine
947,IL4,T-helper 1 cell,cell-cytokine
948,IL4,"CD8-positive, alpha-beta T cell",cell-cytokine
949,IL4,thymocyte,cell-cytokine
950,IL4,osteoclast,cell-cytokine
951,IL4,naive T cell,cell-cytokine
952,IL4,alternatively activated macrophage,cell-cytokine
953,IL4,natural killer cell,cell-cytokine
954,IL4,helper T cell,cell-cytokine
955,IL4,fibroblast,cell-cytokine
956,IL4,neutrophil,cell-cytokine
957,IL4,dendritic cell,cell-cytokine
958,IL4,microglial cell,cell-cytokine
959,IL4,mature NK T cell,cell-cytokine
960,IL4,myeloid cell,cell-cytokine
961,IL4,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
962,IL4,leukocyte,cell-cytokine
963,IL4,memory T cell,cell-cytokine
964,IL4,cytotoxic T cell,cell-cytokine
965,IL4,naive B cell,cell-cytokine
966,IL4,synovial cell,cell-cytokine
967,IL4,inflammatory macrophage,cell-cytokine
968,IL4,peritoneal macrophage,cell-cytokine
969,IL4,Langerhans cell,cell-cytokine
970,IL4,stromal cell,cell-cytokine
971,IL4,erythroid progenitor cell,cell-cytokine
972,IL4,hepatocyte,cell-cytokine
973,IL4,endothelial cell,cell-cytokine
974,IL4,granulocyte monocyte progenitor cell,cell-cytokine
975,IL4,bronchial epithelial cell,cell-cytokine
976,IL4,keratinocyte,cell-cytokine
977,IL4,immature B cell,cell-cytokine
978,IL4,astrocyte,cell-cytokine
979,IL4,multinucleated giant cell,cell-cytokine
980,IL4,goblet cell,cell-cytokine
981,IL4,germinal center B cell,cell-cytokine
982,IL4,Tc1 cell,cell-cytokine
983,IL4,epithelial cell,cell-cytokine
984,IL4,T-helper 17 cell,cell-cytokine
985,IL4,bone marrow cell,cell-cytokine
986,IL4,fat cell,cell-cytokine
987,IL4,regulatory T cell,cell-cytokine
988,IL4,hematopoietic stem cell,cell-cytokine
989,IL4,megakaryocyte,cell-cytokine
990,IL4,smooth muscle cell,cell-cytokine
991,IL4,neuron,cell-cytokine
992,IL4,embryonic stem cell,cell-cytokine
993,IL4,"effector memory CD4-positive, alpha-beta T cell",cell-cytokine
994,IL4,bone cell,cell-cytokine
995,IL4,T-helper 9 cell,cell-cytokine
996,IL4,odontoclast,cell-cytokine
997,IL4,fibrocyte,cell-cytokine
998,IL4,promyelocyte,cell-cytokine
999,IL4,retinal cell,cell-cytokine
1000,IL4,"CD4-positive, alpha-beta memory T cell",cell-cytokine
1001,IL4,alveolar macrophage,cell-cytokine
1002,IL4,"CD8-positive, alpha-beta cytotoxic T cell",cell-cytokine
1003,IL4,induced T-regulatory cell,cell-cytokine
1004,IL4,myoblast,cell-cytokine
1005,IL4,keratocyte,cell-cytokine
1006,IL4,aortic endothelial cell,cell-cytokine
1007,IL4,myeloid suppressor cell,cell-cytokine
1008,IL4,basal cell,cell-cytokine
1009,IL4,mature microglial cell,cell-cytokine
1010,IL4,preadipocyte,cell-cytokine
1011,IL4,"naive thymus-derived CD4-positive, alpha-beta T cell",cell-cytokine
1012,IL4,"CD8-positive, alpha-beta regulatory T cell",cell-cytokine
1013,IL4,pro-B cell,cell-cytokine
1014,IL4,CD4-positive helper T cell,cell-cytokine
1015,IL4,hippocampal neuron,cell-cytokine
1016,IL4,follicular dendritic cell,cell-cytokine
1017,IL4,conventional dendritic cell,cell-cytokine
1018,EBI3,macrophage,cell-cytokine
1019,EBI3,"CD4-positive, alpha-beta T cell",cell-cytokine
1020,EBI3,"CD8-positive, alpha-beta T cell",cell-cytokine
1021,IL17C,T-helper 17 cell,cell-cytokine
1022,IL25,eosinophil,cell-cytokine
1023,IL25,T-helper 2 cell,cell-cytokine
1024,IL25,endothelial cell,cell-cytokine
1025,IL25,fibroblast,cell-cytokine
1026,IL25,macrophage,cell-cytokine
1027,IL25,T cell,cell-cytokine
1028,IL25,T-helper 17 cell,cell-cytokine
1029,IL25,epithelial cell,cell-cytokine
1030,IL25,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
1031,IL25,T-helper 9 cell,cell-cytokine
1032,IL25,plasmacytoid dendritic cell,cell-cytokine
1033,IL25,basophil,cell-cytokine
1034,IL25,B cell,cell-cytokine
1035,IL25,inflammatory macrophage,cell-cytokine
1036,IL25,vascular associated smooth muscle cell,cell-cytokine
1037,IL25,"CD4-positive, alpha-beta T cell",cell-cytokine
1038,IL25,T-helper 1 cell,cell-cytokine
1039,IL25,dendritic cell,cell-cytokine
1040,IL27,T-helper 17 cell,cell-cytokine
1041,IL27,T cell,cell-cytokine
1042,IL27,macrophage,cell-cytokine
1043,IL27,T-helper 1 cell,cell-cytokine
1044,IL27,"CD8-positive, alpha-beta T cell",cell-cytokine
1045,IL27,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
1046,IL27,neutrophil,cell-cytokine
1047,IL27,B cell,cell-cytokine
1048,IL27,hepatocyte,cell-cytokine
1049,IL27,"CD4-positive, alpha-beta T cell",cell-cytokine
1050,IL27,natural killer cell,cell-cytokine
1051,IL27,regulatory T cell,cell-cytokine
1052,IL27,myeloid cell,cell-cytokine
1053,IL27,microglial cell,cell-cytokine
1054,IL27,pneumocyte,cell-cytokine
1055,IL27,dendritic cell,cell-cytokine
1056,IL27,T-helper 2 cell,cell-cytokine
1057,IL27,hematopoietic stem cell,cell-cytokine
1058,IL27,monocyte,cell-cytokine
1059,IL27,platelet,cell-cytokine
1060,IL27,germinal center B cell,cell-cytokine
1061,IL27,professional antigen presenting cell,cell-cytokine
1062,IL27,osteoclast,cell-cytokine
1063,IL27,Tr1 cell,cell-cytokine
1064,IL27,helper T cell,cell-cytokine
1065,IL27,endothelial cell,cell-cytokine
1066,IL27,Tc17 cell,cell-cytokine
1067,IL27,"CD8-positive, alpha-beta memory T cell",cell-cytokine
1068,IL27,T follicular helper cell,cell-cytokine
1069,IL27,mature NK T cell,cell-cytokine
1070,IL27,naive T cell,cell-cytokine
1071,IL27,osteoblast,cell-cytokine
1072,IL27,mature B cell,cell-cytokine
1073,IL27,mesothelial cell of pleura,cell-cytokine
1074,IL27,cardiac muscle cell,cell-cytokine
1075,IL27,T-helper 9 cell,cell-cytokine
1076,IL27,eosinophil,cell-cytokine
1077,IFNA1,leukocyte,cell-cytokine
1078,IFNA1,"CD4-positive, alpha-beta T cell",cell-cytokine
1079,IL18,macrophage,cell-cytokine
1080,IL18,T cell,cell-cytokine
1081,IL18,natural killer cell,cell-cytokine
1082,IL18,keratinocyte,cell-cytokine
1083,IL18,monocyte,cell-cytokine
1084,IL18,neutrophil,cell-cytokine
1085,IL18,T-helper 1 cell,cell-cytokine
1086,IL18,leukocyte,cell-cytokine
1087,IL18,"CD4-positive, alpha-beta T cell",cell-cytokine
1088,IL18,T-helper 2 cell,cell-cytokine
1089,IL18,dendritic cell,cell-cytokine
1090,IL18,lymphocyte,cell-cytokine
1091,IL18,endothelial cell,cell-cytokine
1092,IL18,"CD8-positive, alpha-beta T cell",cell-cytokine
1093,IL18,eosinophil,cell-cytokine
1094,IL18,osteoblast,cell-cytokine
1095,IL18,cardiac muscle cell,cell-cytokine
1096,IL18,articular chondrocyte,cell-cytokine
1097,IL18,B cell,cell-cytokine
1098,IL18,goblet cell,cell-cytokine
1099,IL18,cytotoxic T cell,cell-cytokine
1100,IL18,neuron,cell-cytokine
1101,IL18,osteoclast,cell-cytokine
1102,IL18,mature NK T cell,cell-cytokine
1103,IL18,hepatocyte,cell-cytokine
1104,IL18,erythrocyte,cell-cytokine
1105,IL18,theca cell,cell-cytokine
1106,IL18,fibroblast,cell-cytokine
1107,IL18,chondrocyte,cell-cytokine
1108,IL18,epithelial cell,cell-cytokine
1109,IL18,muscle cell,cell-cytokine
1110,IL18,Kupffer cell,cell-cytokine
1111,IL18,"CD4-positive, alpha-beta intraepithelial T cell",cell-cytokine
1112,IL18,peritoneal macrophage,cell-cytokine
1113,IL18,glial cell,cell-cytokine
1114,IL18,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
1115,IL18,oocyte,cell-cytokine
1116,IL18,basophil,cell-cytokine
1117,IL18,acinar cell,cell-cytokine
1118,IL18,early T lineage precursor,cell-cytokine
1119,IL18,glutamatergic neuron,cell-cytokine
1120,IL18,multinucleated giant cell,cell-cytokine
1121,IL18,hair follicle melanocyte,cell-cytokine
1122,IL11,stem cell,cell-cytokine
1123,IL11,stromal cell,cell-cytokine
1124,IL11,fibroblast,cell-cytokine
1125,IL11,osteoblast,cell-cytokine
1126,IL11,platelet,cell-cytokine
1127,IL11,megakaryocyte,cell-cytokine
1128,IL11,osteoclast,cell-cytokine
1129,IL11,epithelial cell,cell-cytokine
1130,IL11,B cell,cell-cytokine
1131,IL11,erythroid progenitor cell,cell-cytokine
1132,IL11,vascular associated smooth muscle cell,cell-cytokine
1133,IL11,bone marrow cell,cell-cytokine
1134,IL11,T-helper 2 cell,cell-cytokine
1135,IL11,macrophage,cell-cytokine
1136,IL11,cardiac muscle cell,cell-cytokine
1137,IL11,oligodendrocyte,cell-cytokine
1138,IL11,chondrocyte,cell-cytokine
1139,IL11,intestinal epithelial cell,cell-cytokine
1140,IL11,granulocyte monocyte progenitor cell,cell-cytokine
1141,IL11,mast cell,cell-cytokine
1142,IL17A,T cell,cell-cytokine
1143,IL17A,T-helper 17 cell,cell-cytokine
1144,IL17A,"CD4-positive, alpha-beta T cell",cell-cytokine
1145,IL17A,neutrophil,cell-cytokine
1146,IL17A,B cell,cell-cytokine
1147,IL17A,macrophage,cell-cytokine
1148,IL17A,leukocyte,cell-cytokine
1149,IL17A,fat cell,cell-cytokine
1150,IL17A,cardiac muscle cell,cell-cytokine
1151,IL17A,"CD8-positive, alpha-beta T cell",cell-cytokine
1152,IL17A,lymphocyte,cell-cytokine
1153,IL17A,keratinocyte,cell-cytokine
1154,IL17A,respiratory epithelial cell,cell-cytokine
1155,IL17A,T-helper 1 cell,cell-cytokine
1156,IL17A,goblet cell,cell-cytokine
1157,IL17A,eosinophil,cell-cytokine
1158,IL17A,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
1159,IL17A,platelet,cell-cytokine
1160,IL17A,myeloid cell,cell-cytokine
1161,IL17A,natural killer cell,cell-cytokine
1162,IL17A,osteoclast,cell-cytokine
1163,IL17A,intestinal epithelial cell,cell-cytokine
1164,IL17A,monocyte,cell-cytokine
1165,IL17A,fibroblast,cell-cytokine
1166,IL17A,astrocyte,cell-cytokine
1167,IL17A,keratocyte,cell-cytokine
1168,IL17A,epithelial cell of lung,cell-cytokine
1169,IL17A,cytotoxic T cell,cell-cytokine
1170,IL17A,osteoblast,cell-cytokine
1171,IL17A,mature neutrophil,cell-cytokine
1172,IL17A,stromal cell,cell-cytokine
1173,IL17A,hematopoietic stem cell,cell-cytokine
1174,IL17A,endothelial cell,cell-cytokine
1175,IL17A,alveolar macrophage,cell-cytokine
1176,IL17A,T-helper 2 cell,cell-cytokine
1177,IL17A,fetal cardiomyocyte,cell-cytokine
1178,IL17A,retinal cell,cell-cytokine
1179,IL17A,synovial cell,cell-cytokine
1180,IL17A,vascular associated smooth muscle cell,cell-cytokine
1181,IL17A,glial cell,cell-cytokine
1182,IL17A,mesenchymal cell,cell-cytokine
1183,IL17A,type B pancreatic cell,cell-cytokine
1184,IL17A,cardiac fibroblast,cell-cytokine
1185,IL17A,hepatocyte,cell-cytokine
1186,IL17A,epithelial cell,cell-cytokine
1187,IL17A,tendon cell,cell-cytokine
1188,IL24,melanocyte,cell-cytokine
1189,IL24,keratinocyte,cell-cytokine
1190,IL24,T-helper 2 cell,cell-cytokine
1191,IL24,lymphocyte,cell-cytokine
1192,IL24,B cell,cell-cytokine
1193,IL24,vascular associated smooth muscle cell,cell-cytokine
1194,IL24,embryonic stem cell,cell-cytokine
1195,IL24,myeloid cell,cell-cytokine
1196,IFNB1,fibroblast,cell-cytokine
1197,IFNB1,macrophage,cell-cytokine
