,cytokine,cell,source
137,CSF2,peripheral blood stem cell,cell-cytokine
138,CSF2,chondrocyte,cell-cytokine
139,CSF2,melanocyte,cell-cytokine
140,CSF2,myeloid dendritic cell,cell-cytokine
141,CSF2,adipose macrophage,cell-cytokine
142,CSF2,epithelial cell of lung,cell-cytokine
143,CSF2,monoblast,cell-cytokine
144,CSF2,blastoderm cell,cell-cytokine
145,CSF2,perivascular macrophage,cell-cytokine
146,CSF2,common myeloid progenitor,cell-cytokine
147,CXCL10,T cell,cell-cytokine
148,CXCL10,macrophage,cell-cytokine
149,CXCL10,monocyte,cell-cytokine
150,CXCL10,"CD8-positive, alpha-beta T cell",cell-cytokine
151,CXCL10,lymphocyte,cell-cytokine
152,CXCL10,epithelial cell,cell-cytokine
153,CXCL10,natural killer cell,cell-cytokine
154,CXCL10,hepatocyte,cell-cytokine
155,CXCL10,respiratory epithelial cell,cell-cytokine
156,CXCL10,leukocyte,cell-cytokine
157,CXCL10,endothelial cell,cell-cytokine
158,CXCL10,neuron,cell-cytokine
159,CXCL10,fibroblast,cell-cytokine
160,CXCL10,eosinophil,cell-cytokine
161,CXCL10,neutrophil,cell-cytokine
162,CXCL10,"CD4-positive, alpha-beta T cell",cell-cytokine
163,CXCL10,dendritic cell,cell-cytokine
164,CXCL10,B cell,cell-cytokine
165,CXCL10,adult endothelial progenitor cell,cell-cytokine
166,CXCL10,regulatory T cell,cell-cytokine
167,CXCL10,mesangial cell,cell-cytokine
168,CXCL10,type B pancreatic cell,cell-cytokine
169,CXCL10,T-helper 1 cell,cell-cytokine
170,CXCL10,cytotoxic T cell,cell-cytokine
171,CXCL10,osteoclast,cell-cytokine
172,CXCL10,"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell",cell-cytokine
173,CXCL10,vascular associated smooth muscle cell,cell-cytokine
174,CXCL10,T-helper 17 cell,cell-cytokine
175,CXCL10,Tc1 cell,cell-cytokine
176,CXCL10,intestinal epithelial cell,cell-cytokine
177,CXCL10,acinar cell,cell-cytokine
178,CXCL10,mature NK T cell,cell-cytokine
179,CXCL16,T cell,cell-cytokine
180,CXCL16,aortic smooth muscle cell,cell-cytokine
181,CXCL16,stromal cell,cell-cytokine
182,CXCL16,inflammatory macrophage,cell-cytokine
183,CXCL16,cholangiocyte,cell-cytokine
184,CXCL16,"CD8-positive, alpha-beta T cell",cell-cytokine
185,CXCL16,platelet,cell-cytokine
186,CXCL16,leukocyte,cell-cytokine
187,CXCL16,epithelial cell,cell-cytokine
188,CXCL16,sperm,cell-cytokine
189,CXCL16,lymphocyte,cell-cytokine
190,CXCL16,endothelial cell,cell-cytokine
191,CXCL16,B cell,cell-cytokine
192,CCL4,hepatocyte,cell-cytokine
193,CCL4,macrophage,cell-cytokine
194,CCL4,leukocyte,cell-cytokine
195,CCL4,hematopoietic stem cell,cell-cytokine
196,CCL4,T cell,cell-cytokine
197,CCL4,natural killer cell,cell-cytokine
198,CCL4,lymphocyte,cell-cytokine
199,CCL4,platelet,cell-cytokine
200,CCL4,stellate cell,cell-cytokine
201,CCL4,hepatic stellate cell,cell-cytokine
202,CCL4,bone marrow cell,cell-cytokine
203,CCL4,monocyte,cell-cytokine
204,CCL4,"CD4-positive, alpha-beta T cell",cell-cytokine
205,CCL4,T-helper 1 cell,cell-cytokine
206,CCL4,fibroblast,cell-cytokine
207,CCL4,mast cell,cell-cytokine
208,CCL4,neutrophil,cell-cytokine
209,CCL4,fibrocyte,cell-cytokine
210,CCL4,endothelial cell,cell-cytokine
211,EPO,erythroid progenitor cell,cell-cytokine
212,EPO,enucleate erythrocyte,cell-cytokine
213,EPO,reticulocyte,cell-cytokine
214,EPO,erythrocyte,cell-cytokine
215,EPO,platelet,cell-cytokine
216,EPO,erythroblast,cell-cytokine
217,EPO,endothelial cell,cell-cytokine
218,EPO,adult endothelial progenitor cell,cell-cytokine
219,EPO,bone marrow cell,cell-cytokine
220,EPO,megakaryocyte,cell-cytokine
221,EPO,neuron,cell-cytokine
222,EPO,macrophage,cell-cytokine
223,EPO,T cell,cell-cytokine
224,EPO,proerythroblast,cell-cytokine
225,EPO,myoblast,cell-cytokine
